"rowGrp","colGrp","rowLevels","n","n_se"
"ind","usc","Total",34110,0
"ind","difficulty","Total",34707,0
"ind","rsn_MD","Total",1447,0
"ind","rsn_DN","Total",2111,0
"ind","rsn_PM","Total",1206,0
"ind","adult_nosmok","Total",2039,0
"ind","child_dental","Total",8972,0
"ind","diab_a1c","Total",2216,0
"ind","diab_chol","Total",2216,0
"ind","diab_eye","Total",2216,0
"ind","diab_foot","Total",2216,0
"ind","diab_flu","Total",2216,0
"ind","adult_routine","Total",12640,0
"ind","adult_illness","Total",5907,0
"ind","adult_listen","Total",13824,0
"ind","adult_explain","Total",13824,0
"ind","adult_respect","Total",13824,0
"ind","adult_time","Total",13824,0
"ind","adult_rating","Total",13824,0
"ind","child_routine","Total",6405,0
"ind","child_illness","Total",1928,0
"ind","child_listen","Total",7475,0
"ind","child_explain","Total",7475,0
"ind","child_respect","Total",7475,0
"ind","child_time","Total",7475,0
"ind","child_rating","Total",7475,0
"agegrps","usc","Under 5",2334,0
"agegrps","usc","5-17",7260,0
"agegrps","usc","18-44",12482,0
"agegrps","usc","45-64",8220,0
"agegrps","usc","65+",3814,0
"agegrps","difficulty","Under 5",2360,0
"agegrps","difficulty","5-17",7362,0
"agegrps","difficulty","18-44",12708,0
"agegrps","difficulty","45-64",8399,0
"agegrps","difficulty","65+",3878,0
"agegrps","rsn_MD","Under 5",25,0
"agegrps","rsn_MD","5-17",118,0
"agegrps","rsn_MD","18-44",564,0
"agegrps","rsn_MD","45-64",579,0
"agegrps","rsn_MD","65+",161,0
"agegrps","rsn_DN","Under 5",27,0
"agegrps","rsn_DN","5-17",212,0
"agegrps","rsn_DN","18-44",870,0
"agegrps","rsn_DN","45-64",779,0
"agegrps","rsn_DN","65+",223,0
"agegrps","rsn_PM","Under 5",13,0
"agegrps","rsn_PM","5-17",44,0
"agegrps","rsn_PM","18-44",387,0
"agegrps","rsn_PM","45-64",555,0
"agegrps","rsn_PM","65+",207,0
"agegrps","adult_nosmok","18-44",869,0
"agegrps","adult_nosmok","45-64",908,0
"agegrps","adult_nosmok","65+",262,0
"agegrps","child_dental","Under 5",1603,0
"agegrps","child_dental","5-17",7369,0
"agegrps","diab_a1c","18-44",295,0
"agegrps","diab_a1c","45-64",1036,0
"agegrps","diab_a1c","65+",885,0
"agegrps","diab_chol","18-44",295,0
"agegrps","diab_chol","45-64",1036,0
"agegrps","diab_chol","65+",885,0
"agegrps","diab_eye","18-44",295,0
"agegrps","diab_eye","45-64",1036,0
"agegrps","diab_eye","65+",885,0
"agegrps","diab_foot","18-44",295,0
"agegrps","diab_foot","45-64",1036,0
"agegrps","diab_foot","65+",885,0
"agegrps","diab_flu","18-44",295,0
"agegrps","diab_flu","45-64",1036,0
"agegrps","diab_flu","65+",885,0
"agegrps","adult_routine","18-44",5068,0
"agegrps","adult_routine","45-64",4802,0
"agegrps","adult_routine","65+",2770,0
"agegrps","adult_illness","18-44",2567,0
"agegrps","adult_illness","45-64",2148,0
"agegrps","adult_illness","65+",1192,0
"agegrps","adult_listen","18-44",5778,0
"agegrps","adult_listen","45-64",5134,0
"agegrps","adult_listen","65+",2912,0
"agegrps","adult_explain","18-44",5778,0
"agegrps","adult_explain","45-64",5134,0
"agegrps","adult_explain","65+",2912,0
"agegrps","adult_respect","18-44",5778,0
"agegrps","adult_respect","45-64",5134,0
"agegrps","adult_respect","65+",2912,0
"agegrps","adult_time","18-44",5778,0
"agegrps","adult_time","45-64",5134,0
"agegrps","adult_time","65+",2912,0
"agegrps","adult_rating","18-44",5778,0
"agegrps","adult_rating","45-64",5134,0
"agegrps","adult_rating","65+",2912,0
"agegrps","child_routine","Under 5",1807,0
"agegrps","child_routine","5-17",4598,0
"agegrps","child_illness","Under 5",572,0
"agegrps","child_illness","5-17",1356,0
"agegrps","child_listen","Under 5",2086,0
"agegrps","child_listen","5-17",5389,0
"agegrps","child_explain","Under 5",2086,0
"agegrps","child_explain","5-17",5389,0
"agegrps","child_respect","Under 5",2086,0
"agegrps","child_respect","5-17",5389,0
"agegrps","child_time","Under 5",2086,0
"agegrps","child_time","5-17",5389,0
"agegrps","child_rating","Under 5",2086,0
"agegrps","child_rating","5-17",5389,0
"region","usc","Northeast",5655,0
"region","usc","Midwest",6061,0
"region","usc","South",12621,0
"region","usc","West",9773,0
"region","difficulty","Northeast",5786,0
"region","difficulty","Midwest",6138,0
"region","difficulty","South",12807,0
"region","difficulty","West",9976,0
"region","rsn_MD","Northeast",232,0
"region","rsn_MD","Midwest",258,0
"region","rsn_MD","South",585,0
"region","rsn_MD","West",372,0
"region","rsn_DN","Northeast",304,0
"region","rsn_DN","Midwest",360,0
"region","rsn_DN","South",825,0
"region","rsn_DN","West",622,0
"region","rsn_PM","Northeast",191,0
"region","rsn_PM","Midwest",229,0
"region","rsn_PM","South",527,0
"region","rsn_PM","West",259,0
"region","adult_nosmok","Northeast",387,0
"region","adult_nosmok","Midwest",475,0
"region","adult_nosmok","South",855,0
"region","adult_nosmok","West",322,0
"region","child_dental","Northeast",1381,0
"region","child_dental","Midwest",1634,0
"region","child_dental","South",3295,0
"region","child_dental","West",2662,0
"region","diab_a1c","Northeast",354,0
"region","diab_a1c","Midwest",365,0
"region","diab_a1c","South",923,0
"region","diab_a1c","West",574,0
"region","diab_chol","Northeast",354,0
"region","diab_chol","Midwest",365,0
"region","diab_chol","South",923,0
"region","diab_chol","West",574,0
"region","diab_eye","Northeast",354,0
"region","diab_eye","Midwest",365,0
"region","diab_eye","South",923,0
"region","diab_eye","West",574,0
"region","diab_foot","Northeast",354,0
"region","diab_foot","Midwest",365,0
"region","diab_foot","South",923,0
"region","diab_foot","West",574,0
"region","diab_flu","Northeast",354,0
"region","diab_flu","Midwest",365,0
"region","diab_flu","South",923,0
"region","diab_flu","West",574,0
"region","adult_routine","Northeast",2284,0
"region","adult_routine","Midwest",2466,0
"region","adult_routine","South",4536,0
"region","adult_routine","West",3354,0
"region","adult_illness","Northeast",995,0
"region","adult_illness","Midwest",1166,0
"region","adult_illness","South",2319,0
"region","adult_illness","West",1427,0
"region","adult_listen","Northeast",2472,0
"region","adult_listen","Midwest",2683,0
"region","adult_listen","South",5046,0
"region","adult_listen","West",3623,0
"region","adult_explain","Northeast",2472,0
"region","adult_explain","Midwest",2683,0
"region","adult_explain","South",5046,0
"region","adult_explain","West",3623,0
"region","adult_respect","Northeast",2472,0
"region","adult_respect","Midwest",2683,0
"region","adult_respect","South",5046,0
"region","adult_respect","West",3623,0
"region","adult_time","Northeast",2472,0
"region","adult_time","Midwest",2683,0
"region","adult_time","South",5046,0
"region","adult_time","West",3623,0
"region","adult_rating","Northeast",2472,0
"region","adult_rating","Midwest",2683,0
"region","adult_rating","South",5046,0
"region","adult_rating","West",3623,0
"region","child_routine","Northeast",1113,0
"region","child_routine","Midwest",1302,0
"region","child_routine","South",2269,0
"region","child_routine","West",1721,0
"region","child_illness","Northeast",301,0
"region","child_illness","Midwest",398,0
"region","child_illness","South",724,0
"region","child_illness","West",505,0
"region","child_listen","Northeast",1282,0
"region","child_listen","Midwest",1431,0
"region","child_listen","South",2722,0
"region","child_listen","West",2040,0
"region","child_explain","Northeast",1282,0
"region","child_explain","Midwest",1431,0
"region","child_explain","South",2722,0
"region","child_explain","West",2040,0
"region","child_respect","Northeast",1282,0
"region","child_respect","Midwest",1431,0
"region","child_respect","South",2722,0
"region","child_respect","West",2040,0
"region","child_time","Northeast",1282,0
"region","child_time","Midwest",1431,0
"region","child_time","South",2722,0
"region","child_time","West",2040,0
"region","child_rating","Northeast",1282,0
"region","child_rating","Midwest",1431,0
"region","child_rating","South",2722,0
"region","child_rating","West",2040,0
"married","usc","Married",11681,0
"married","usc","Widowed",1417,0
"married","usc","Divorced",2745,0
"married","usc","Separated",764,0
"married","usc","Never married",8986,0
"married","usc","Inapplicable (age < 16)",8517,0
"married","difficulty","Married",11889,0
"married","difficulty","Widowed",1447,0
"married","difficulty","Divorced",2789,0
"married","difficulty","Separated",774,0
"married","difficulty","Never married",9180,0
"married","difficulty","Inapplicable (age < 16)",8627,0
"married","difficulty","Missing",1,0
"married","rsn_MD","Married",466,0
"married","rsn_MD","Widowed",94,0
"married","rsn_MD","Divorced",282,0
"married","rsn_MD","Separated",66,0
"married","rsn_MD","Never married",418,0
"married","rsn_MD","Inapplicable (age < 16)",121,0
"married","rsn_DN","Married",668,0
"married","rsn_DN","Widowed",122,0
"married","rsn_DN","Divorced",353,0
"married","rsn_DN","Separated",92,0
"married","rsn_DN","Never married",673,0
"married","rsn_DN","Inapplicable (age < 16)",203,0
"married","rsn_PM","Married",407,0
"married","rsn_PM","Widowed",108,0
"married","rsn_PM","Divorced",252,0
"married","rsn_PM","Separated",71,0
"married","rsn_PM","Never married",324,0
"married","rsn_PM","Inapplicable (age < 16)",44,0
"married","adult_nosmok","Married",814,0
"married","adult_nosmok","Widowed",108,0
"married","adult_nosmok","Divorced",396,0
"married","adult_nosmok","Separated",108,0
"married","adult_nosmok","Never married",613,0
"married","child_dental","Married",1,0
"married","child_dental","Never married",1095,0
"married","child_dental","Inapplicable (age < 16)",7876,0
"married","diab_a1c","Married",1155,0
"married","diab_a1c","Widowed",294,0
"married","diab_a1c","Divorced",340,0
"married","diab_a1c","Separated",86,0
"married","diab_a1c","Never married",341,0
"married","diab_chol","Married",1155,0
"married","diab_chol","Widowed",294,0
"married","diab_chol","Divorced",340,0
"married","diab_chol","Separated",86,0
"married","diab_chol","Never married",341,0
"married","diab_eye","Married",1155,0
"married","diab_eye","Widowed",294,0
"married","diab_eye","Divorced",340,0
"married","diab_eye","Separated",86,0
"married","diab_eye","Never married",341,0
"married","diab_foot","Married",1155,0
