"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"Condition","ind","Acute Bronchitis and URI","Total",2693,0
"Condition","ind","Allergic reactions","Total",654,0
"Condition","ind","Anemia and other deficiencies","Total",399,0
"Condition","ind","Appendicitis","Total",48,0
"Condition","ind","Back problems","Total",1832,0
"Condition","ind","Cancer","Total",1283,0
"Condition","ind","Cataract","Total",367,0
"Condition","ind","Cerebrovascular disease","Total",337,0
"Condition","ind","Complications of pregnancy and birth","Total",169,0
"Condition","ind","Complications of surgery or device","Total",92,0
"Condition","ind","Congenital anomalies","Total",160,0
"Condition","ind","COPD, asthma","Total",4692,0
"Condition","ind","Diabetes mellitus","Total",2692,0
"Condition","ind","Disorders of mouth and esophagus","Total",90,0
"Condition","ind","Disorders of teeth and jaws","Total",736,0
"Condition","ind","Disorders of the upper GI","Total",2237,0
"Condition","ind","Epilepsy and convulsions","Total",292,0
"Condition","ind","Female genital disorders, and contraception","Total",1290,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",344,0
"Condition","ind","Glaucoma","Total",350,0
"Condition","ind","Headache","Total",818,0
"Condition","ind","Heart disease","Total",2209,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",116,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",245,0
"Condition","ind","Hernias","Total",173,0
"Condition","ind","Hyperlipidemia","Total",4564,0
"Condition","ind","Hypertension","Total",6278,0
"Condition","ind","Infectious diseases","Total",1639,0
"Condition","ind","Influenza","Total",696,0
"Condition","ind","Intestinal infection","Total",388,0
"Condition","ind","Kidney Disease","Total",505,0
"Condition","ind","Male genital disorders","Total",409,0
"Condition","ind","Mental disorders","Total",4014,0
"Condition","ind","Non-malignant breast disease","Total",145,0
"Condition","ind","Non-malignant neoplasm","Total",295,0
"Condition","ind","Normal birth/live born","Total",673,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",3787,0
"Condition","ind","Other bone and musculoskeletal disease","Total",599,0
"Condition","ind","Other care and screening","Total",2211,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",604,0
"Condition","ind","Other CNS disorders","Total",1581,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1456,0
"Condition","ind","Other eye disorders","Total",1504,0
"Condition","ind","Other GI","Total",869,0
"Condition","ind","Other stomach and intestinal disorders","Total",187,0
"Condition","ind","Other urinary","Total",451,0
"Condition","ind","Otitis media","Total",948,0
"Condition","ind","Paralysis","Total",36,0
"Condition","ind","Perinatal Conditions","Total",43,0
"Condition","ind","Pneumonia","Total",367,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",192,0
"Condition","ind","Residual Codes","Total",2226,0
"Condition","ind","Skin disorders","Total",2195,0
"Condition","ind","Symptoms","Total",917,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1528,0
"Condition","ind","Thyroid disease","Total",1496,0
"Condition","ind","Tonsillitis","Total",90,0
"Condition","ind","Trauma-related disorders","Total",3186,0
"Condition","ind","Urinary tract infections","Total",721,0
"Condition","event","Acute Bronchitis and URI","ERT",171,0
"Condition","event","Allergic reactions","ERT",76,0
"Condition","event","Anemia and other deficiencies","ERT",13,0
"Condition","event","Appendicitis","ERT",32,0
"Condition","event","Back problems","ERT",133,0
"Condition","event","Cancer","ERT",42,0
"Condition","event","Cataract","ERT",1,0
"Condition","event","Cerebrovascular disease","ERT",57,0
"Condition","event","Complications of pregnancy and birth","ERT",47,0
"Condition","event","Complications of surgery or device","ERT",15,0
"Condition","event","Congenital anomalies","ERT",7,0
"Condition","event","COPD, asthma","ERT",384,0
"Condition","event","Diabetes mellitus","ERT",79,0
