"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"ind","ind","Total","Total",30728,0
"ind","event","Total","TOT",30728,0
"ind","event","Total","DVT",13928,0
"ind","event","Total","RX",22887,0
"ind","event","Total","OBV",25774,0
"ind","event","Total","OBD",24305,0
"ind","event","Total","OBO",9647,0
"ind","event","Total","OPT",5645,0
"ind","event","Total","OPY",3016,0
"ind","event","Total","OPZ",3544,0
"ind","event","Total","ERT",5056,0
"ind","event","Total","IPT",2783,0
"ind","event","Total","HHT",768,0
"ind","event","Total","OMA",6239,0
"ind","sop","Total","EXP",30728,0
"ind","sop","Total","SLF",27499,0
"ind","sop","Total","PTR",18979,0
"ind","sop","Total","MCR",4779,0
"ind","sop","Total","MCD",6755,0
"ind","sop","Total","OTZ",6711,0
"ind","agegrps","Total","Under 5",2524,0
"ind","agegrps","Total","5-17",6579,0
"ind","agegrps","Total","18-44",10192,0
"ind","agegrps","Total","45-64",7287,0
"ind","agegrps","Total","65+",4146,0
"event","sop","TOT","EXP",30728,0
"event","sop","TOT","SLF",27499,0
"event","sop","TOT","PTR",18979,0
"event","sop","TOT","MCR",4779,0
"event","sop","TOT","MCD",6755,0
"event","sop","TOT","OTZ",6711,0
"event","sop","DVT","EXP",13928,0
"event","sop","DVT","SLF",9385,0
"event","sop","DVT","PTR",7916,0
"event","sop","DVT","MCR",119,0
"event","sop","DVT","MCD",1815,0
"event","sop","DVT","OTZ",920,0
"event","sop","RX","EXP",22887,0
"event","sop","RX","SLF",21626,0
"event","sop","RX","PTR",12209,0
"event","sop","RX","MCR",1054,0
"event","sop","RX","MCD",4133,0
"event","sop","RX","OTZ",1116,0
"event","sop","OBV","EXP",25774,0
"event","sop","OBV","SLF",19057,0
"event","sop","OBV","PTR",15509,0
"event","sop","OBV","MCR",4376,0
"event","sop","OBV","MCD",5072,0
"event","sop","OBV","OTZ",4624,0
"event","sop","OBD","EXP",24305,0
"event","sop","OBD","SLF",17573,0
"event","sop","OBD","PTR",14680,0
"event","sop","OBD","MCR",4253,0
"event","sop","OBD","MCD",4769,0
"event","sop","OBD","OTZ",4033,0
"event","sop","OBO","EXP",9647,0
"event","sop","OBO","SLF",5948,0
"event","sop","OBO","PTR",5495,0
"event","sop","OBO","MCR",1706,0
"event","sop","OBO","MCD",1186,0
"event","sop","OBO","OTZ",1439,0
"event","sop","OPT","EXP",5645,0
"event","sop","OPT","SLF",2520,0
"event","sop","OPT","PTR",3632,0
"event","sop","OPT","MCR",1620,0
"event","sop","OPT","MCD",936,0
"event","sop","OPT","OTZ",1009,0
"event","sop","OPY","EXP",3016,0
"event","sop","OPY","SLF",1322,0
"event","sop","OPY","PTR",1825,0
"event","sop","OPY","MCR",869,0
"event","sop","OPY","MCD",580,0
"event","sop","OPY","OTZ",589,0
"event","sop","OPZ","EXP",3544,0
"event","sop","OPZ","SLF",1404,0
"event","sop","OPZ","PTR",2380,0
"event","sop","OPZ","MCR",1054,0
"event","sop","OPZ","MCD",488,0
"event","sop","OPZ","OTZ",531,0
"event","sop","ERT","EXP",5056,0
"event","sop","ERT","SLF",2208,0
"event","sop","ERT","PTR",2603,0
"event","sop","ERT","MCR",1012,0
"event","sop","ERT","MCD",1378,0
"event","sop","ERT","OTZ",914,0
"event","sop","IPT","EXP",2783,0
"event","sop","IPT","SLF",1140,0
"event","sop","IPT","PTR",1475,0
"event","sop","IPT","MCR",1018,0
"event","sop","IPT","MCD",800,0
"event","sop","IPT","OTZ",509,0
"event","sop","HHT","EXP",768,0
"event","sop","HHT","SLF",169,0
"event","sop","HHT","PTR",120,0
"event","sop","HHT","MCR",342,0
"event","sop","HHT","MCD",301,0
"event","sop","HHT","OTZ",245,0
"event","sop","OMA","EXP",6239,0
"event","sop","OMA","SLF",5033,0
"event","sop","OMA","PTR",1548,0
"event","sop","OMA","MCR",272,0
"event","sop","OMA","MCD",740,0
"event","sop","OMA","OTZ",338,0
"event","agegrps","TOT","Under 5",2524,0
"event","agegrps","TOT","5-17",6579,0
"event","agegrps","TOT","18-44",10192,0
"event","agegrps","TOT","45-64",7287,0
"event","agegrps","TOT","65+",4146,0
"event","agegrps","DVT","Under 5",427,0
"event","agegrps","DVT","5-17",3803,0
"event","agegrps","DVT","18-44",4554,0
"event","agegrps","DVT","45-64",3561,0
"event","agegrps","DVT","65+",1583,0
"event","agegrps","RX","Under 5",1612,0
"event","agegrps","RX","5-17",3891,0
"event","agegrps","RX","18-44",7359,0
"event","agegrps","RX","45-64",6136,0
"event","agegrps","RX","65+",3889,0
"event","agegrps","OBV","Under 5",2345,0
"event","agegrps","OBV","5-17",5131,0
"event","agegrps","OBV","18-44",8083,0
"event","agegrps","OBV","45-64",6325,0
"event","agegrps","OBV","65+",3890,0
"event","agegrps","OBD","Under 5",2298,0
"event","agegrps","OBD","5-17",4790,0
"event","agegrps","OBD","18-44",7404,0
"event","agegrps","OBD","45-64",5993,0
"event","agegrps","OBD","65+",3820,0
"event","agegrps","OBO","Under 5",366,0
"event","agegrps","OBO","5-17",1220,0
"event","agegrps","OBO","18-44",3161,0
"event","agegrps","OBO","45-64",2976,0
"event","agegrps","OBO","65+",1924,0
"event","agegrps","OPT","Under 5",222,0
"event","agegrps","OPT","5-17",439,0
"event","agegrps","OPT","18-44",1544,0
"event","agegrps","OPT","45-64",1945,0
"event","agegrps","OPT","65+",1495,0
"event","agegrps","OPY","Under 5",153,0
"event","agegrps","OPY","5-17",271,0
"event","agegrps","OPY","18-44",794,0
"event","agegrps","OPY","45-64",983,0
"event","agegrps","OPY","65+",815,0
"event","agegrps","OPZ","Under 5",81,0
"event","agegrps","OPZ","5-17",209,0
"event","agegrps","OPZ","18-44",942,0
"event","agegrps","OPZ","45-64",1317,0
"event","agegrps","OPZ","65+",995,0
"event","agegrps","ERT","Under 5",519,0
"event","agegrps","ERT","5-17",912,0
"event","agegrps","ERT","18-44",1716,0
"event","agegrps","ERT","45-64",1042,0
"event","agegrps","ERT","65+",867,0
"event","agegrps","IPT","Under 5",156,0
"event","agegrps","IPT","5-17",149,0
"event","agegrps","IPT","18-44",912,0
