"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"Condition","ind","Acute Bronchitis and URI","Total",3403,0
"Condition","ind","Allergic reactions","Total",685,0
"Condition","ind","Anemia and other deficiencies","Total",319,0
"Condition","ind","Appendicitis","Total",21,0
"Condition","ind","Back problems","Total",1968,0
"Condition","ind","Cancer","Total",994,0
"Condition","ind","Cataract","Total",452,0
"Condition","ind","Cerebrovascular disease","Total",264,0
"Condition","ind","CNS infection","Total",30,0
"Condition","ind","Coma, brain damage","Total",8,0
"Condition","ind","Complications of pregnancy and birth","Total",122,0
"Condition","ind","Complications of surgery or device","Total",104,0
"Condition","ind","Congenital anomalies","Total",143,0
"Condition","ind","COPD, asthma","Total",5092,0
"Condition","ind","Diabetes mellitus","Total",1869,0
"Condition","ind","Disorders of mouth and esophagus","Total",109,0
"Condition","ind","Disorders of teeth and jaws","Total",857,0
"Condition","ind","Disorders of the upper GI","Total",2250,0
"Condition","ind","Epilepsy and convulsions","Total",276,0
"Condition","ind","Female genital disorders, and contraception","Total",1607,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",312,0
"Condition","ind","Glaucoma","Total",360,0
"Condition","ind","Headache","Total",853,0
"Condition","ind","Heart disease","Total",2028,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",110,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",162,0
"Condition","ind","Hernias","Total",237,0
"Condition","ind","Hyperlipidemia","Total",2457,0
"Condition","ind","Hypertension","Total",4423,0
"Condition","ind","Infectious diseases","Total",1643,0
"Condition","ind","Influenza","Total",376,0
"Condition","ind","Intestinal infection","Total",765,0
"Condition","ind","Kidney Disease","Total",387,0
"Condition","ind","Male genital disorders","Total",345,0
"Condition","ind","Mental disorders","Total",3462,0
"Condition","ind","Non-malignant breast disease","Total",215,0
"Condition","ind","Non-malignant neoplasm","Total",373,0
"Condition","ind","Normal birth/live born","Total",799,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",2559,0
"Condition","ind","Other bone and musculoskeletal disease","Total",879,0
"Condition","ind","Other care and screening","Total",2630,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",770,0
"Condition","ind","Other CNS disorders","Total",1454,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1229,0
"Condition","ind","Other eye disorders","Total",1617,0
"Condition","ind","Other GI","Total",912,0
"Condition","ind","Other stomach and intestinal disorders","Total",172,0
"Condition","ind","Other urinary","Total",470,0
"Condition","ind","Otitis media","Total",1226,0
"Condition","ind","Paralysis","Total",33,0
"Condition","ind","Perinatal Conditions","Total",20,0
"Condition","ind","Pneumonia","Total",392,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",240,0
"Condition","ind","Residual Codes","Total",1831,0
"Condition","ind","Skin disorders","Total",2223,0
"Condition","ind","Symptoms","Total",798,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1582,0
"Condition","ind","Thyroid disease","Total",1282,0
"Condition","ind","Tonsillitis","Total",138,0
"Condition","ind","Trauma-related disorders","Total",3497,0
"Condition","ind","Urinary tract infections","Total",812,0
"Condition","event","Acute Bronchitis and URI","ERT",172,0
"Condition","event","Allergic reactions","ERT",82,0
"Condition","event","Anemia and other deficiencies","ERT",15,0
