"rowGrp","colGrp","rowLevels","colLevels","meanEXP0","meanEXP0_se"
"ind","ind","Total","Total",3737.211657847,86.9809914786984
"ind","event","Total","TOT",3737.211657847,86.9809914786984
"ind","event","Total","DVT",272.29130493284,6.81814374715978
"ind","event","Total","RX",772.099878973683,18.4881929514078
"ind","event","Total","OBV",876.754821469034,28.9023169104728
"ind","event","Total","OBD",594.371388788273,16.3469352963421
"ind","event","Total","OBO",278.502992607261,20.4411647145486
"ind","event","Total","OPT",317.296947193603,14.722673006933
"ind","event","Total","OPY",210.96089501461,11.4824053874077
"ind","event","Total","OPZ",103.617679355988,7.49651211247604
"ind","event","Total","ERT",126.497165497186,5.16158776211997
"ind","event","Total","IPT",1171.53715011121,58.0290520301359
"ind","event","Total","HHT",125.832700867435,19.1107408886046
"ind","event","Total","OMA",74.9061915656853,4.05195333324149
"ind","sop","Total","EXP",3737.211657847,86.9809914786984
"ind","sop","Total","SLF",606.46371927027,12.538197804671
"ind","sop","Total","PTR",1583.46152889129,63.2457555249855
"ind","sop","Total","MCR",927.318488746032,37.2579263698333
"ind","sop","Total","MCD",325.400232065162,29.2365633033361
"ind","sop","Total","OTZ",294.5784143822,17.9195061340205
"ind","agegrps","Total","Under 5",1760.70605792545,315.003380379066
"ind","agegrps","Total","5-17",1245.36821768654,65.8561024789341
"ind","agegrps","Total","18-44",2129.40734487938,69.7695494677053
"ind","agegrps","Total","45-64",5473.81206921632,250.183188932715
"ind","agegrps","Total","65+",9356.51929684597,285.830259566495
"ind","region","Total","Northeast",3760.69304232469,182.455243945331
"ind","region","Total","Midwest",4224.83668808186,241.269929246727
"ind","region","Total","South",3659.72142776598,131.846747967442
"ind","region","Total","West",3381.23844922006,181.601495135087
"ind","married","Total","Married",4758.12113720533,159.990433900128
"ind","married","Total","Widowed",9035.26413079638,426.014120917338
"ind","married","Total","Divorced",4855.6091156548,264.178661929395
"ind","married","Total","Separated",5051.32929414162,581.218213082848
"ind","married","Total","Never married",2422.94802479569,132.866983652257
"ind","married","Total","Inapplicable (age < 16)",1381.02426506533,127.407096504621
"ind","married","Total","Missing",422,0
"ind","race","Total","Hispanic",2062.63194335956,125.07193779171
"ind","race","Total","White",4249.8213136972,114.96664320457
"ind","race","Total","Black",3393.79688287376,209.884303975854
"ind","race","Total","Amer. Indian, AK Native, or mult. races",3502.93278130415,372.675893419063
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",3062.20244044179,621.899308174736
"ind","sex","Total","Male",3319.11201330897,125.713556056974
"ind","sex","Total","Female",4138.84767052932,106.927766503322
"ind","education","Total","Less than high school",4806.82987854864,235.85790881976
"ind","education","Total","High school",4381.55033908969,181.41645484061
"ind","education","Total","Some college",4452.18434956292,153.116411346247
"ind","education","Total","Inapplicable (age < 18)",1386.0841370974,112.572753585371
"ind","education","Total","Missing",5141.96860548221,1223.22968729088
"ind","employed","Total","Employed",3051.86515238584,119.462078339595
"ind","employed","Total","Not employed",6726.6274888308,189.211273241748
"ind","employed","Total","Inapplicable (age < 16)",1381.02426506533,127.407096504621
"ind","employed","Total","Missing",31.3376864968683,27.6510456229579
"ind","insurance","Total","Any private, all ages",3835.62927884136,110.369233963004
"ind","insurance","Total","Public only, all ages",5136.9712519632,228.454292714408
"ind","insurance","Total","Uninsured, all ages",1175.97316540393,96.0492253674755
"ind","poverty","Total","Negative or poor",3907.51372343315,295.17782295697
"ind","poverty","Total","Near-poor",4199.15517837562,374.353029175451
"ind","poverty","Total","Low income",4024.25816910807,240.359515818693
"ind","poverty","Total","Middle income",3327.48979332078,130.837151911825
"ind","poverty","Total","High income",3857.25054049616,140.72499297634
"ind","health","Total","Excellent",1632.21643492515,67.6180678480076
"ind","health","Total","Very good",2666.42106845724,109.52771168776
"ind","health","Total","Good",4524.36199812175,166.0586034235
"ind","health","Total","Fair",9087.78456282029,548.282854173271
"ind","health","Total","Poor",19426.9149829676,1344.46162807211
"ind","health","Total","Missing",12005.7543349613,3132.3902069335
"ind","mnhlth","Total","Excellent",2459.72365100546,96.3549873698289
"ind","mnhlth","Total","Very good",3476.75922782081,172.570247619723
"ind","mnhlth","Total","Good",5107.02674276052,181.150018093099
"ind","mnhlth","Total","Fair",7631.49846729924,493.60467900034
"ind","mnhlth","Total","Poor",11602.8289008972,882.561674894674
"ind","mnhlth","Total","Missing",12005.7543349613,3132.3902069335
"ind","agegrps_v2X","Total","Under 18",1386.0841370974,112.572753585371
"ind","agegrps_v2X","Total","18-64",3505.83608216062,110.765003679024
"ind","agegrps_v2X","Total","65+",9356.51929684597,285.830259566495
"ind","insurance_v2X","Total","<65, Any private",3236.41029940572,111.870470329869
"ind","insurance_v2X","Total","<65, Public only",3144.32701627086,233.912345357198
"ind","insurance_v2X","Total","<65, Uninsured",1177.60858398838,96.6764377124238
"ind","insurance_v2X","Total","65+, Medicare only",8661.34497434656,482.530238614015
"ind","insurance_v2X","Total","65+, Medicare and private",9179.47642146232,387.700362275444
"ind","insurance_v2X","Total","65+, Medicare and other public",12763.6126139506,933.545756479263
"ind","insurance_v2X","Total","65+, No medicare",4697.31015726548,1214.73957574411
"event","sop","TOT","EXP",3737.211657847,86.9809914786984
"event","sop","TOT","SLF",606.46371927027,12.538197804671
"event","sop","TOT","PTR",1583.46152889129,63.2457555249855
"event","sop","TOT","MCR",927.318488746032,37.2579263698333
"event","sop","TOT","MCD",325.400232065162,29.2365633033361
"event","sop","TOT","OTZ",294.5784143822,17.9195061340205
"event","sop","DVT","EXP",272.29130493284,6.81814374715978
"event","sop","DVT","SLF",133.687958426145,4.23179236385299
"event","sop","DVT","PTR",116.597617389042,3.78499628472265
"event","sop","DVT","MCR",2.17682035470044,0.530517084669601
"event","sop","DVT","MCD",11.5758739922077,1.04237886046076
"event","sop","DVT","OTZ",8.2577255669398,0.873079031258874
"event","sop","RX","EXP",772.099878973683,18.4881929514078
"event","sop","RX","SLF",213.969628221691,5.21374521961444
"event","sop","RX","PTR",274.173228744677,10.8555392036429
"event","sop","RX","MCR",191.041328321191,8.25736762400943
"event","sop","RX","MCD",60.0076106302771,4.87978464936579
"event","sop","RX","OTZ",32.9089618606476,2.88894213716539
"event","sop","OBV","EXP",876.754821469034,28.9023169104728
"event","sop","OBV","SLF",131.082616081302,4.03711161801152
"event","sop","OBV","PTR",447.485755679194,25.32516076476
"event","sop","OBV","MCR",159.242814550084,8.68412336195437
"event","sop","OBV","MCD",52.3230117596673,3.68974795611023
"event","sop","OBV","OTZ",86.6242356552147,5.46407316612995
"event","sop","OBD","EXP",594.371388788273,16.3469352963421
"event","sop","OBD","SLF",78.7568762976179,2.32133378411571
"event","sop","OBD","PTR",302.483287612692,12.9449242547451
"event","sop","OBD","MCR",117.813108643738,6.53569597134726
"event","sop","OBD","MCD",35.0122868218967,2.0762516562864
"event","sop","OBD","OTZ",60.3068863207473,4.22303948532079
"event","sop","OBO","EXP",278.502992607261,20.4411647145486
"event","sop","OBO","SLF",51.2090972295652,2.94492690381574
"event","sop","OBO","PTR",143.878625450928,19.5915951301284
"event","sop","OBO","MCR",40.711693067479,3.75907749934863
"event","sop","OBO","MCD",16.6093105478859,2.15465280519323
"event","sop","OBO","OTZ",26.0983250264917,2.4682777396712
"event","sop","OPT","EXP",317.296947193603,14.722673006933
"event","sop","OPT","SLF",23.453882828435,1.79922961283977
"event","sop","OPT","PTR",189.354969287386,12.3485871411159
"event","sop","OPT","MCR",60.7430162225631,4.79026013385974
"event","sop","OPT","MCD",11.784604723729,1.40939657818809
"event","sop","OPT","OTZ",31.9614641501995,3.66616456222281
"event","sop","OPY","EXP",210.96089501461,11.4824053874077
"event","sop","OPY","SLF",16.9288956635366,1.71951938261955
"event","sop","OPY","PTR",127.325820114613,9.74180654795385
"event","sop","OPY","MCR",36.3447272773327,3.20586674783676
"event","sop","OPY","MCD",6.80990948793148,0.771904363875946
"event","sop","OPY","OTZ",23.5512480593156,3.42040161323142
"event","sop","OPZ","EXP",103.617679355988,7.49651211247604
"event","sop","OPZ","SLF",6.27011324552763,0.435073315131476
"event","sop","OPZ","PTR",60.91358072953,5.98394501818349
"event","sop","OPZ","MCR",23.5403826049021,2.81589808943938
"event","sop","OPZ","MCD",4.90567017779053,1.0763217266358
"event","sop","OPZ","OTZ",7.98849015557749,1.22847139705775
"event","sop","ERT","EXP",126.497165497186,5.16158776211997
"event","sop","ERT","SLF",15.126485135025,1.05470667376182
"event","sop","ERT","PTR",66.4058861155494,3.79424690230018
"event","sop","ERT","MCR",18.4691546176218,1.77944902548113
"event","sop","ERT","MCD",11.9093090652748,0.961746258659063
"event","sop","ERT","OTZ",14.5850484721188,1.46085513401722
"event","sop","IPT","EXP",1171.53715011121,58.0290520301359
"event","sop","IPT","SLF",36.0048469632603,6.4656939304329
"event","sop","IPT","PTR",465.129108295991,43.1913236505403
"event","sop","IPT","MCR",450.205303691883,27.2944594514595
"event","sop","IPT","MCD",118.954149082766,14.0173858407397
"event","sop","IPT","OTZ",101.243706792468,14.2900350990949
"event","sop","HHT","EXP",125.832700867435,19.1107408886046
"event","sop","HHT","SLF",7.88299180093549,1.76801879256385
"event","sop","HHT","PTR",9.21443893168118,2.6318302358121
"event","sop","HHT","MCR",42.1372685599327,4.22323458568965
"event","sop","HHT","MCD",51.9923959160118,18.0084482331593
"event","sop","HHT","OTZ",14.6060723912613,1.98549743186985
"event","sop","OMA","EXP",74.9061915656853,4.05195333324149
"event","sop","OMA","SLF",45.2553486846882,3.19293470505632
"event","sop","OMA","PTR",15.1037310579844,1.57686963184366
"event","sop","OMA","MCR",3.30443533816189,0.483507010523795
"event","sop","OMA","MCD",6.85308590160925,1.26988406382605
"event","sop","OMA","OTZ",4.39104683186015,0.81641896530778
"event","agegrps","TOT","Under 5",1760.70605792545,315.003380379066
"event","agegrps","TOT","5-17",1245.36821768654,65.8561024789341
"event","agegrps","TOT","18-44",2129.40734487938,69.7695494677053
"event","agegrps","TOT","45-64",5473.81206921632,250.183188932715
"event","agegrps","TOT","65+",9356.51929684597,285.830259566495
"event","agegrps","DVT","Under 5",54.2306003168986,15.2787720480934
"event","agegrps","DVT","5-17",329.005426974504,17.8786433129496
"event","agegrps","DVT","18-44",201.286372766757,8.50145922893129
"event","agegrps","DVT","45-64",359.794584621868,14.4286333752224
"event","agegrps","DVT","65+",335.409635239854,22.0105226916817
"event","agegrps","RX","Under 5",98.6908986531799,19.2777753644155
"event","agegrps","RX","5-17",196.672000809239,18.6849917177954
"event","agegrps","RX","18-44",374.118252978607,19.6052197071549
"event","agegrps","RX","45-64",1241.72684721917,40.7373158245347
"event","agegrps","RX","65+",2121.83320599915,70.0193427215611
"event","agegrps","OBV","Under 5",425.919653273228,21.0712354313741
"event","agegrps","OBV","5-17",305.587977673643,14.4166941352934
"event","agegrps","OBV","18-44",613.29643031379,35.2547570903745
"event","agegrps","OBV","45-64",1349.77402426059,90.4673155411124
"event","agegrps","OBV","65+",1711.6223917026,65.3358608719704
"event","agegrps","OBD","Under 5",378.225799096174,17.9900601505843
"event","agegrps","OBD","5-17",223.19424417066,9.72782386672338
"event","agegrps","OBD","18-44",402.92034175786,16.9388401042396
"event","agegrps","OBD","45-64",872.556045101776,49.7272666156534
"event","agegrps","OBD","65+",1213.55979499959,50.0697533779847
"event","agegrps","OBO","Under 5",44.9410732938795,9.93695323412853
"event","agegrps","OBO","5-17",80.2564558607237,8.30107986076623
"event","agegrps","OBO","18-44",206.827243566795,29.8467472677116
"event","agegrps","OBO","45-64",473.709591901165,65.5239820584046
"event","agegrps","OBO","65+",489.475177702048,32.5223141112882
"event","agegrps","OPT","Under 5",108.372792288806,29.242461536617
"event","agegrps","OPT","5-17",103.098259200503,19.8176725773589
"event","agegrps","OPT","18-44",178.021045754004,13.0131981284258
"event","agegrps","OPT","45-64",567.748534191222,43.1089028082055
"event","agegrps","OPT","65+",620.681376678117,44.8304784463842
"event","agegrps","OPY","Under 5",92.1526680499124,28.3949374185731
"event","agegrps","OPY","5-17",82.4195134257253,19.1692718962643
"event","agegrps","OPY","18-44",130.321116835298,11.4241955746164
"event","agegrps","OPY","45-64",360.875434511212,32.5809452848764
"event","agegrps","OPY","65+",381.927084588816,31.0904227388101
"event","agegrps","OPZ","Under 5",15.5510127308371,4.6004305314172
"event","agegrps","OPZ","5-17",19.1380508305664,4.87228917740798
"event","agegrps","OPZ","18-44",46.9377641113882,5.81327346027717
"event","agegrps","OPZ","45-64",203.014579993622,23.4733176553809
"event","agegrps","OPZ","65+",230.006404632015,25.809334381084
"event","agegrps","ERT","Under 5",110.17590166316,15.7639520948002
"event","agegrps","ERT","5-17",65.0456842039084,8.1393660362688
"event","agegrps","ERT","18-44",110.40097776051,6.16730174767291
"event","agegrps","ERT","45-64",182.743888693822,14.0918271648846
"event","agegrps","ERT","65+",153.633465529081,11.9245729961955
"event","agegrps","IPT","Under 5",694.084656671021,161.879144330572
"event","agegrps","IPT","5-17",147.133633547502,25.7154379915732
"event","agegrps","IPT","18-44",568.613764162504,41.9230059452656
"event","agegrps","IPT","45-64",1602.83376680146,176.917646787192
"event","agegrps","IPT","65+",3707.56253380391,221.515494702045
"event","agegrps","HHT","Under 5",255.63368509002,197.098225569118
"event","agegrps","HHT","5-17",54.6969425736056,26.6859812814161
"event","agegrps","HHT","18-44",33.2279305020805,9.29914799362904
"event","agegrps","HHT","45-64",80.153371000122,11.8977926262489
"event","agegrps","HHT","65+",514.350538135241,46.4027173264769
"event","agegrps","OMA","Under 5",13.6044413095044,5.03884690459998
"event","agegrps","OMA","5-17",44.1332125308759,11.625650579289
"event","agegrps","OMA","18-44",50.4441285081062,5.64205477448802
"event","agegrps","OMA","45-64",89.0443077515062,5.2953072334733
"event","agegrps","OMA","65+",191.431920899299,19.7732376357524
"event","region","TOT","Northeast",3760.69304232469,182.455243945331
"event","region","TOT","Midwest",4224.83668808186,241.269929246727
"event","region","TOT","South",3659.72142776598,131.846747967442
"event","region","TOT","West",3381.23844922006,181.601495135087
"event","region","DVT","Northeast",284.79547904482,14.4231567629752
"event","region","DVT","Midwest",286.757112845225,15.8838804195566
"event","region","DVT","South",224.050000851781,9.60780155722493
"event","region","DVT","West",324.90689092221,15.9552068800004
"event","region","RX","Northeast",830.143745418125,45.7185650829294
"event","region","RX","Midwest",839.300988101523,45.5341771442315
"event","region","RX","South",786.532439350493,32.2958438105689
"event","region","RX","West",640.794684737447,31.6825092761002
"event","region","OBV","Northeast",943.387628906131,71.7099382992121
"event","region","OBV","Midwest",1008.8703229426,71.2995822460958
"event","region","OBV","South",777.5652072176,41.2208396399194
"event","region","OBV","West",856.543386397727,66.8269218725261
