"rowGrp","colGrp","rowLevels","colLevels","medEXP","medEXP_se"
"ind","ind","Total","Total",1257,28.827060316243
"ind","event","Total","TOT",1257,28.827060316243
"ind","event","Total","DVT",240,4.59192111232189
"ind","event","Total","RX",340,14.2859767938903
"ind","event","Total","OBV",422,8.16341531079446
"ind","event","Total","OBD",341,6.37766821155818
"ind","event","Total","OBO",231,6.12256148309585
"ind","event","Total","OPT",606,27.5515266739313
"ind","event","Total","OPY",1104,63.0113619301948
"ind","event","Total","OPZ",321,14.796190250815
"ind","event","Total","ERT",569,19.6432180915992
"ind","event","Total","IPT",8250,348.475791079539
"ind","event","Total","HHT",2828,312.505742366351
"ind","event","Total","OMA",220,8.16341531079446
"ind","sop","Total","EXP",1257,28.827060316243
"ind","sop","Total","SLF",322,8.16341531079446
"ind","sop","Total","PTR",798,15.8166171646643
"ind","sop","Total","MCR",1894,83.4199002071809
"ind","sop","Total","MCD",355,13.7757633369657
"ind","sop","Total","OTZ",301,11.734909509267
"ind","agegrps","Total","Under 5",470,15.8166171646643
"ind","agegrps","Total","5-17",531,17.8574709923629
"ind","agegrps","Total","18-44",867,27.8066334023936
"ind","agegrps","Total","45-64",2176,69.1339234132906
"ind","agegrps","Total","65+",4524,152.298716892009
"ind","region","Total","Northeast",1446,64.0317888440441
"ind","region","Total","Midwest",1346,70.4094570556023
"ind","region","Total","South",1203,43.8783572955202
"ind","region","Total","West",1089,60.4602946455715
"ind","married","Total","Married",1891,55.6132668047873
"ind","married","Total","Widowed",4474,279.086760937786
"ind","married","Total","Divorced",2212,112.502067251886
"ind","married","Total","Separated",1764,200.258781842927
"ind","married","Total","Never married",861,31.6332343293285
"ind","married","Total","Inapplicable (age < 16)",494,12.7553364231164
"ind","race","Total","Hispanic",607,22.9596055616094
"ind","race","Total","White",1602,45.1538909378319
"ind","race","Total","Black",814,41.327290010897
"ind","race","Total","Amer. Indian, AK Native, or mult. races",1163,164.288733129739
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",758,45.6641043947565
"ind","sex","Total","Male",1046,29.5923805016299
"ind","sex","Total","Female",1485,42.8579303816709
"ind","education","Total","Less than high school",1630,87.7567145910405
"ind","education","Total","High school",1815,72.7054176117632
"ind","education","Total","Some college",1807,50.2560255070784
"ind","education","Total","Inapplicable (age < 18)",507,14.2859767938903
"ind","education","Total","Missing",868,263.270143773121
"ind","employed","Total","Employed",1232,28.5719535877806
"ind","employed","Total","Not employed",3076,105.103972126479
"ind","employed","Total","Inapplicable (age < 16)",494,12.7553364231164
"ind","employed","Total","Missing",49257,19054.6868690366
"ind","insurance","Total","Any private, all ages",1335,31.6332343293285
"ind","insurance","Total","Public only, all ages",1556,113.777600894198
"ind","insurance","Total","Uninsured, all ages",528,31.6332343293285
"ind","poverty","Total","Negative or poor",856,46.9396380370682
