"rowGrp","colGrp","rowLevels","colLevels","avgEVT","avgEVT_se"
"ind","ind","Total","Total",15.518916445856,0.210981967598696
"ind","event","Total","DVT",1.05822341003955,0.0188882623896146
"ind","event","Total","RX",8.77316604666676,0.160456547184975
"ind","event","Total","OBV",4.76547583264078,0.0690637470880621
"ind","event","Total","OBD",3.35961748300607,0.0455703359385055
"ind","event","Total","OBO",1.35204364686897,0.0417470495319561
"ind","event","Total","OPT",0.525808750541376,0.0269142792074402
"ind","event","Total","OPY",0.185888528548094,0.0116665387872662
"ind","event","Total","OPZ",0.328196815604605,0.0217115831099382
"ind","event","Total","ERT",0.193511966567272,0.00457292782032535
"ind","event","Total","IPT",0.106147399728461,0.00342974971389326
"ind","event","Total","HHT",0.0965830396718192,0.00770752099107232
"ind","sop","Total","EXP",14.9797972410548,0.207230314179923
"ind","sop","Total","SLF",11.5569871337609,0.172641736649226
"ind","sop","Total","MCR",1.71752488394673,0.0667137316640159
"ind","sop","Total","MCD",1.48883276730743,0.0759112592829365
"ind","sop","Total","PTR",7.03338880987048,0.12209221994123
"ind","sop","Total","OTZ",1.08216975159722,0.0424959375904845
"ind","agegrps","Total","Under 5",6.33120402587172,0.202559043368859
"ind","agegrps","Total","5-17",6.74926274891942,0.173784221761967
"ind","agegrps","Total","18-44",9.97366339859066,0.19094951269873
"ind","agegrps","Total","45-64",23.2558719650524,0.433112894988308
"ind","agegrps","Total","65+",36.4874298758289,0.782039602735427
"ind","region","Total","Northeast",16.2561105031425,0.464397325270706
"ind","region","Total","Midwest",17.3996388889644,0.441575525165919
"ind","region","Total","South",15.6855203943641,0.385600962294502
"ind","region","Total","West",12.76931359578,0.431250358486083
"ind","married","Total","Married",18.6965716800499,0.306137870380745
"ind","married","Total","Widowed",37.7716948125891,1.02583400405917
"ind","married","Total","Divorced",22.2022669468432,0.767320198445092
"ind","married","Total","Separated",20.7440965171392,1.73917107957097
"ind","married","Total","Never married",10.0406111760098,0.284581841920312
"ind","married","Total","Inapplicable (age < 16)",6.515759804788,0.145776083362115
"ind","race","Total","Hispanic",8.48045336436216,0.293704004394448
"ind","race","Total","Black",11.8685200185512,0.461908769037493
"ind","race","Total","White and other",17.376235947254,0.25087659606279
"ind","sex","Total","Male",12.4959786518115,0.23983933332889
"ind","sex","Total","Female",18.3968390526065,0.274646951943745
"ind","education","Total","Less than high school",20.8113425399864,0.615339525879638
"ind","education","Total","High school",18.60569842544,0.410726458705771
"ind","education","Total","Some college",17.5731699413887,0.299037998632473
"ind","education","Total","Inapplicable (age < 18)",6.63541709863168,0.143679667426426
"ind","education","Total","Missing",15.8402225232485,3.25166981862044
"ind","employed","Total","Employed",12.591603782174,0.188207108445148
"ind","employed","Total","Not employed",27.819074881939,0.527831976395357
"ind","employed","Total","Inapplicable (age < 16)",6.515759804788,0.145776083362115
"ind","insurance","Total","Any private, all ages",15.1567773802245,0.217182610102138
"ind","insurance","Total","Public only, all ages",23.8782030709482,0.695516709884826
"ind","insurance","Total","Uninsured, all ages",6.1804489068974,0.282511442736348
"ind","poverty","Total","Negative or poor",15.8173832971701,0.676247017419157
"ind","poverty","Total","Near-poor",16.1328852859146,0.867588032150928
"ind","poverty","Total","Low income",16.2633009996208,0.598084957383708
"ind","poverty","Total","Middle income",15.0774547151554,0.338728247366097
"ind","poverty","Total","High income",15.4468957617064,0.265384461425796
"ind","health","Total","Excellent",7.61274579685861,0.178264524569321
"ind","health","Total","Very good",12.1712791678275,0.224891640989166
"ind","health","Total","Good",18.5676195654754,0.361058863796941
"ind","health","Total","Fair",34.965349708984,0.937730067660055
"ind","health","Total","Poor",59.9558512012384,2.33568131270485
"ind","mnhlth","Total","Excellent",10.696680808074,0.194776948412344
"ind","mnhlth","Total","Very good",13.8865007928053,0.279116935229842
"ind","mnhlth","Total","Good",20.5153312388816,0.431590124356943
"ind","mnhlth","Total","Fair",34.6219247621343,1.33925037666944
"ind","mnhlth","Total","Poor",46.6059557564013,2.90388725107371
"ind","agegrps_v2X","Total","Under 18",6.63541709863168,0.143679667426426
"ind","agegrps_v2X","Total","18-64",14.929169760921,0.213263612941637
"ind","agegrps_v2X","Total","65+",36.4874298758289,0.782039602735427
"ind","insurance_v2X","Total","<65, Any private",12.9089589016483,0.186257948296215
"ind","insurance_v2X","Total","<65, Public only",16.7851946451247,0.689286524918413
"ind","insurance_v2X","Total","<65, Uninsured",6.17922689772753,0.283260356595372
"ind","insurance_v2X","Total","65+, Medicare only",36.0174704190469,1.17487943765407
