"rowGrp","colGrp","rowLevels","colLevels","pctPOP","pctPOP_se"
"ind","usc","Total","No usual source of health care",0.205385822250844,0.00458993573084923
"ind","usc","Total","Office-based",0.677407329277216,0.00613173591769986
"ind","usc","Total","Hospital (not ER)",0.113277844849223,0.00428773813982144
"ind","usc","Total","Emergency room",0.00392900362271825,0.000573352412987533
"ind","usc","Total","Missing",0,0
"ind","difficulty","Total","delay_ANY",0.0993832173273945,0.00298098322314227
"ind","difficulty","Total","delay_MD",0.0466782805871664,0.00191166854903643
"ind","difficulty","Total","delay_DN",0.054529672040909,0.00219551324125172
"ind","difficulty","Total","delay_PM",0.0312294482679351,0.00143132141158025
"ind","rsn_MD","Total","afford_MD",0.447149871435172,0.0201556099372026
"ind","rsn_MD","Total","insure_MD",0.0943589961581616,0.010445975468933
"ind","rsn_MD","Total","other_MD",0.468516383320055,0.0193329954759566
"ind","rsn_DN","Total","afford_DN",0.724234288091893,0.0159440324217761
"ind","rsn_DN","Total","insure_DN",0.055141933839931,0.00698897599398918
"ind","rsn_DN","Total","other_DN",0.229706080868701,0.0151648047857933
"ind","rsn_PM","Total","afford_PM",0.483751446370394,0.0214542595861755
"ind","rsn_PM","Total","insure_PM",0.18042534884649,0.0168367044453581
"ind","rsn_PM","Total","other_PM",0.350486588346201,0.021332155887729
"ind","adult_nosmok","Total","Told to quit",0.579330736580383,0.0144445510743737
"ind","adult_nosmok","Total","Not told to quit",0.239874888161559,0.012044748172893
"ind","adult_nosmok","Total","Had no visits in the last 12 months",0.0563126798254997,0.00623256841967456
"ind","adult_nosmok","Total","Not ascertained",0.124481695432558,0.00908847702010267
"ind","adult_nosmok","Total","Inapplicable",0,0
"ind","child_dental","Total","One or more dental visits",0.521571064003591,0.00927809674537416
"ind","child_dental","Total","No dental visits in past year",0.478428935996409,0.00927809674537416
"ind","diab_a1c","Total","Had measurement",0.646697057467838,0.0148719170301813
"ind","diab_a1c","Total","Did not have measurement",0.0826414292778993,0.00710293028514602
"ind","diab_a1c","Total","Don't know/Non-response",0.270661513254262,0.0133323360851921
"ind","diab_a1c","Total","Inapplicable",0,0
"ind","diab_chol","Total","Don't know/Non-response",0.0177094040208765,0.0037242615981457
"ind","diab_chol","Total","In the past year",0.911114238923311,0.0076044567016318
"ind","diab_chol","Total","Missing",0,0
"ind","diab_chol","Total","More than 1 year ago",0.0587177736233353,0.00614603205108384
"ind","diab_chol","Total","Never had cholesterol checked",0.0124585834324775,0.00289213805682676
"ind","diab_eye","Total","Don't know/Non-response",0.012384176701579,0.00321347759313594
"ind","diab_eye","Total","In the past year",0.66935959671998,0.0128499899839418
"ind","diab_eye","Total","Missing",0,0
"ind","diab_eye","Total","More than 1 year ago",0.196890568203347,0.0103828573047068
"ind","diab_eye","Total","Never had eye exam",0.121365658375094,0.00902009305449263
"ind","diab_foot","Total","Don't know/Non-response",0.035614050877473,0.00494014008038388
"ind","diab_foot","Total","In the past year",0.651120035607909,0.0143876194058612
"ind","diab_foot","Total","Inapplicable",0,0
"ind","diab_foot","Total","No exam in past year",0.313265913514618,0.0138411293117226
"ind","diab_flu","Total","Don't know/Non-response",0.0102542407489106,0.00266636179129131
"ind","diab_flu","Total","In the past year",0.610156414880135,0.0141531252066057
"ind","diab_flu","Total","Missing",0,0
"ind","diab_flu","Total","More than 1 year ago",0.169372553167202,0.0111412444094184
"ind","diab_flu","Total","Never had flu shot",0.210216791203753,0.0108017927709682
"ind","adult_routine","Total","Always",0.42498691816152,0.00586780750751652
"ind","adult_routine","Total","Usually",0.322085462043165,0.00525623986549545
"ind","adult_routine","Total","Sometimes/Never",0.134610051051537,0.00429915701599667
"ind","adult_routine","Total","Don't know/Non-response",0.118317568743778,0.00381160894575513
"ind","adult_routine","Total","Inapplicable",0,0
"ind","adult_illness","Total","Always",0.520655185180103,0.00836854322121323
"ind","adult_illness","Total","Usually",0.248860283299371,0.00718322901684644
"ind","adult_illness","Total","Sometimes/Never",0.123901485128907,0.00502161869691105
"ind","adult_illness","Total","Don't know/Non-response",0.10658304639162,0.00569236450567261
"ind","adult_illness","Total","Inapplicable",0,0
"ind","adult_listen","Total","Always",0.57105438442425,0.00595405864378759
"ind","adult_listen","Total","Usually",0.315392137508716,0.00546308008295364
"ind","adult_listen","Total","Sometimes/Never",0.0837312803630358,0.00298208280650692
"ind","adult_listen","Total","Don't know/Non-response",0.029822197703998,0.00172206171838853
"ind","adult_listen","Total","Inapplicable",0,0
"ind","adult_explain","Total","Always",0.586601045094494,0.00578514372882342
"ind","adult_explain","Total","Usually",0.307229397125114,0.00553413126407883
"ind","adult_explain","Total","Sometimes/Never",0.07540395390888,0.00306739221404275
"ind","adult_explain","Total","Don't know/Non-response",0.0307656038715123,0.00178821867962122
"ind","adult_explain","Total","Inapplicable",0,0
"ind","adult_respect","Total","Always",0.601420936858301,0.00595989942316459
"ind","adult_respect","Total","Usually",0.29376760134966,0.00519000870692629
"ind","adult_respect","Total","Sometimes/Never",0.073232954115925,0.00279892621953955
"ind","adult_respect","Total","Don't know/Non-response",0.0315785076761134,0.00177561939859159
"ind","adult_respect","Total","Inapplicable",0,0
"ind","adult_time","Total","Always",0.471914857843737,0.00588915834820271
"ind","adult_time","Total","Usually",0.366972592403714,0.00556966595942
"ind","adult_time","Total","Sometimes/Never",0.12855489043018,0.00386688197137657
"ind","adult_time","Total","Don't know/Non-response",0.0325576593223695,0.00184725280586441
"ind","adult_time","Total","Inapplicable",0,0
"ind","adult_rating","Total","0-6 rating",0.129075786728452,0.00419862262791559
"ind","adult_rating","Total","7-8 rating",0.365584757334224,0.00555117070735882
"ind","adult_rating","Total","9-10 rating",0.472852324188231,0.0057830073130077
"ind","adult_rating","Total","Don't know/Non-response",0.0324871317490942,0.00185771789618979
"ind","adult_rating","Total","Inapplicable",0,0
"ind","child_routine","Total","Always",0.707320416775156,0.00943390995214012
"ind","child_routine","Total","Usually",0.217115223629783,0.00900631614890782
"ind","child_routine","Total","Sometimes/Never",0.072930342880638,0.0047605331867509
"ind","child_routine","Total","Don't know/Non-response",0.00263401671442341,0.00143417444231828
"ind","child_routine","Total","Inapplicable",0,0
"ind","child_illness","Total","Always",0.779672621244489,0.0140035552043364
"ind","child_illness","Total","Usually",0.141221896946308,0.0116051244381814
"ind","child_illness","Total","Sometimes/Never",0.0779567303849471,0.00827435913535418
"ind","child_illness","Total","Don't know/Non-response",0.00114875142425556,0.000706588698832609
"ind","child_illness","Total","Inapplicable",0,0
"ind","child_listen","Total","Always",0.752908217505362,0.00888908406027353
"ind","child_listen","Total","Usually",0.191044792602571,0.00795075693008546
"ind","child_listen","Total","Sometimes/Never",0.0498973503301417,0.00428331353081069
"ind","child_listen","Total","Don't know/Non-response",0.00614963956192491,0.00148652377166361
"ind","child_listen","Total","Inapplicable",0,0
"ind","child_explain","Total","Always",0.787670444048774,0.00845986073263936
"ind","child_explain","Total","Usually",0.172974812959419,0.0076407486567555
"ind","child_explain","Total","Sometimes/Never",0.0341026907868035,0.00309126926286328
"ind","child_explain","Total","Don't know/Non-response",0.00525205220500369,0.00136554976717155
"ind","child_explain","Total","Inapplicable",0,0
"ind","child_respect","Total","Always",0.789505305842073,0.00822576268898374
"ind","child_respect","Total","Usually",0.162288863265295,0.00743125836712396
"ind","child_respect","Total","Sometimes/Never",0.0436985887999002,0.00417896353782268
"ind","child_respect","Total","Don't know/Non-response",0.00450724209273125,0.00130403872255887
"ind","child_respect","Total","Inapplicable",0,0
"ind","child_time","Total","Always",0.724944698307362,0.00887631478760741
"ind","child_time","Total","Usually",0.204401002886677,0.007857215988513
"ind","child_time","Total","Sometimes/Never",0.0670027657151857,0.00469041826233437
"ind","child_time","Total","Don't know/Non-response",0.00365153309077521,0.000915646398734397
"ind","child_time","Total","Inapplicable",0,0
"ind","child_rating","Total","0-6 rating",0.050485387275334,0.00431558173747518
"ind","child_rating","Total","7-8 rating",0.264763646993234,0.00892321283094476
"ind","child_rating","Total","9-10 rating",0.682071523301053,0.0103284227628601
"ind","child_rating","Total","Don't know/Non-response",0.00267944243037901,0.000757963150450652
"ind","child_rating","Total","Inapplicable",0,0
"agegrps","usc","Under 5","No usual source of health care",0.0548744021216029,0.0073203500473174
"agegrps","usc","Under 5","Office-based",0.810236879965819,0.0115079551037478
"agegrps","usc","Under 5","Hospital (not ER)",0.131854122244443,0.00996715861258733
"agegrps","usc","Under 5","Emergency room",0.00303459566813459,0.00115415608929628
"agegrps","usc","Under 5","Missing",0,0
