"rowGrp","colGrp","rowLevels","n","n_se"
"ind","usc","Total",28694,0
"ind","difficulty","Total",29049,0
"ind","rsn_MD","Total",1271,0
"ind","rsn_DN","Total",1600,0
"ind","rsn_PM","Total",879,0
"ind","adult_nosmok","Total",1837,0
"ind","child_dental","Total",7665,0
"ind","diab_a1c","Total",1747,0
"ind","diab_chol","Total",1747,0
"ind","diab_eye","Total",1747,0
"ind","diab_foot","Total",1747,0
"ind","diab_flu","Total",1747,0
"ind","adult_routine","Total",11857,0
"ind","adult_illness","Total",5289,0
"ind","adult_listen","Total",12810,0
"ind","adult_explain","Total",12810,0
"ind","adult_respect","Total",12810,0
"ind","adult_time","Total",12810,0
"ind","adult_rating","Total",12810,0
"ind","child_routine","Total",5247,0
"ind","child_illness","Total",1563,0
"ind","child_listen","Total",6120,0
"ind","child_explain","Total",6120,0
"ind","child_respect","Total",6120,0
"ind","child_time","Total",6120,0
"ind","child_rating","Total",6120,0
"agegrps","usc","Under 5",2061,0
"agegrps","usc","5-17",6234,0
"agegrps","usc","18-44",10025,0
"agegrps","usc","45-64",6973,0
"agegrps","usc","65+",3401,0
"agegrps","difficulty","Under 5",2076,0
"agegrps","difficulty","5-17",6290,0
"agegrps","difficulty","18-44",10178,0
"agegrps","difficulty","45-64",7069,0
"agegrps","difficulty","65+",3436,0
"agegrps","rsn_MD","Under 5",43,0
"agegrps","rsn_MD","5-17",139,0
"agegrps","rsn_MD","18-44",540,0
"agegrps","rsn_MD","45-64",444,0
"agegrps","rsn_MD","65+",105,0
"agegrps","rsn_DN","Under 5",15,0
"agegrps","rsn_DN","5-17",205,0
"agegrps","rsn_DN","18-44",702,0
"agegrps","rsn_DN","45-64",536,0
"agegrps","rsn_DN","65+",142,0
"agegrps","rsn_PM","Under 5",17,0
"agegrps","rsn_PM","5-17",53,0
"agegrps","rsn_PM","18-44",320,0
"agegrps","rsn_PM","45-64",360,0
"agegrps","rsn_PM","65+",129,0
"agegrps","adult_nosmok","18-44",756,0
"agegrps","adult_nosmok","45-64",836,0
"agegrps","adult_nosmok","65+",245,0
"agegrps","child_dental","Under 5",1369,0
"agegrps","child_dental","5-17",6296,0
"agegrps","diab_a1c","18-44",233,0
"agegrps","diab_a1c","45-64",806,0
"agegrps","diab_a1c","65+",708,0
"agegrps","diab_chol","18-44",233,0
"agegrps","diab_chol","45-64",806,0
"agegrps","diab_chol","65+",708,0
"agegrps","diab_eye","18-44",233,0
"agegrps","diab_eye","45-64",806,0
"agegrps","diab_eye","65+",708,0
"agegrps","diab_foot","18-44",233,0
"agegrps","diab_foot","45-64",806,0
"agegrps","diab_foot","65+",708,0
"agegrps","diab_flu","18-44",233,0
"agegrps","diab_flu","45-64",806,0
"agegrps","diab_flu","65+",708,0
"agegrps","adult_routine","18-44",4775,0
"agegrps","adult_routine","45-64",4528,0
