"rowGrp","colGrp","rowLevels","n","n_se"
"ind","insurance","Total",32577,0
"ind","ins_lt65","Total",28660,0
"ind","ins_ge65","Total",3917,0
"agegrps","insurance","Under 5",2559,0
"agegrps","insurance","5-17",7074,0
"agegrps","insurance","18-44",11299,0
"agegrps","insurance","45-64",7728,0
"agegrps","insurance","65+",3917,0
"agegrps","ins_lt65","Under 5",2559,0
"agegrps","ins_lt65","5-17",7074,0
"agegrps","ins_lt65","18-44",11299,0
"agegrps","ins_lt65","45-64",7728,0
"agegrps","ins_ge65","65+",3917,0
"region","insurance","Northeast",4673,0
"region","insurance","Midwest",6370,0
"region","insurance","South",12341,0
"region","insurance","West",9193,0
"region","ins_lt65","Northeast",4008,0
"region","ins_lt65","Midwest",5550,0
"region","ins_lt65","South",10784,0
"region","ins_lt65","West",8318,0
"region","ins_ge65","Northeast",665,0
"region","ins_ge65","Midwest",820,0
"region","ins_ge65","South",1557,0
"region","ins_ge65","West",875,0
"married","insurance","Married",12389,0
"married","insurance","Widowed",1653,0
"married","insurance","Divorced",2648,0
"married","insurance","Separated",574,0
"married","insurance","Never married",6849,0
"married","insurance","Inapplicable (age < 16)",8461,0
"married","insurance","Missing",3,0
"married","ins_lt65","Married",10389,0
"married","ins_lt65","Widowed",381,0
"married","ins_lt65","Divorced",2213,0
"married","ins_lt65","Separated",520,0
"married","ins_lt65","Never married",6694,0
"married","ins_lt65","Inapplicable (age < 16)",8461,0
"married","ins_lt65","Missing",2,0
"married","ins_ge65","Married",2000,0
"married","ins_ge65","Widowed",1272,0
"married","ins_ge65","Divorced",435,0
"married","ins_ge65","Separated",54,0
"married","ins_ge65","Never married",155,0
"married","ins_ge65","Missing",1,0
"race","insurance","Hispanic",8906,0
"race","insurance","White",15959,0
"race","insurance","Black",5608,0
"race","insurance","Amer. Indian, AK Native, or mult. races",752,0
"race","insurance","Asian, Hawaiian, or Pacific Islander",1352,0
"race","ins_lt65","Hispanic",8394,0
"race","ins_lt65","White",13350,0
"race","ins_lt65","Black",5007,0
"race","ins_lt65","Amer. Indian, AK Native, or mult. races",702,0
"race","ins_lt65","Asian, Hawaiian, or Pacific Islander",1207,0
"race","ins_ge65","Hispanic",512,0
"race","ins_ge65","White",2609,0
"race","ins_ge65","Black",601,0
"race","ins_ge65","Amer. Indian, AK Native, or mult. races",50,0
"race","ins_ge65","Asian, Hawaiian, or Pacific Islander",145,0
"sex","insurance","Male",15370,0
"sex","insurance","Female",17207,0
"sex","ins_lt65","Male",13721,0
"sex","ins_lt65","Female",14939,0
"sex","ins_ge65","Male",1649,0
"sex","ins_ge65","Female",2268,0
"racesex","insurance","Female, Amer. Indian, AK Native, or mult. races",419,0
"racesex","insurance","Female, Asian, Hawaiian, or Pacific Islander",706,0
"racesex","insurance","Female, Black",3143,0
"racesex","insurance","Female, Hispanic",4629,0
"racesex","insurance","Female, White",8310,0
"racesex","insurance","Male, Amer. Indian, AK Native, or mult. races",333,0
"racesex","insurance","Male, Asian, Hawaiian, or Pacific Islander",646,0
"racesex","insurance","Male, Black",2465,0
"racesex","insurance","Male, Hispanic",4277,0
"racesex","insurance","Male, White",7649,0
"racesex","ins_lt65","Female, Amer. Indian, AK Native, or mult. races",388,0
"racesex","ins_lt65","Female, Asian, Hawaiian, or Pacific Islander",617,0
