"rowGrp","colGrp","rowLevels","colLevels","medEXP","medEXP_se"
"ind","ind","Total","Total",1286,29.0821670447053
"ind","event","Total","TOT",1286,29.0821670447053
"ind","event","Total","DVT",243,4.08170765539723
"ind","event","Total","RX",253,8.67362876771912
"ind","event","Total","OBV",464,9.18384222464377
"ind","event","Total","OBD",368,7.39809512540748
"ind","event","Total","OBO",272,6.6327749400205
"ind","event","Total","OPT",676,28.3168468593183
"ind","event","Total","OPY",1054,77.5524454525474
"ind","event","Total","OPZ",374,18.1125777208252
"ind","event","Total","ERT",713,24.7453526608457
"ind","event","Total","IPT",10310,402.813524242014
"ind","event","Total","HHT",2742,257.912902475413
"ind","event","Total","OMA",240,6.37766821155818
"ind","sop","Total","EXP",1286,29.0821670447053
"ind","sop","Total","SLF",292,6.12256148309585
"ind","sop","Total","PTR",829,19.3881113631369
"ind","sop","Total","MCR",1774,71.4298839694516
"ind","sop","Total","MCD",394,14.030870065428
"ind","sop","Total","OTZ",313,13.5206566085033
"ind","agegrps","Total","Under 5",486,26.531099760082
"ind","agegrps","Total","5-17",562,21.4289651908355
"ind","agegrps","Total","18-44",922,28.827060316243
"ind","agegrps","Total","45-64",1977,62.7562552017324
"ind","agegrps","Total","65+",4292,152.043610163547
"ind","region","Total","Northeast",1482,72.4503108833009
"ind","region","Total","Midwest",1440,44.8987842093696
"ind","region","Total","South",1205,45.1538909378319
"ind","region","Total","West",1143,41.5823967393593
"ind","married","Total","Married",1855,59.1847610032599
"ind","married","Total","Widowed",4221,303.577006870169
"ind","married","Total","Divorced",2235,130.359538244249
"ind","married","Total","Separated",1632,173.982788811307
"ind","married","Total","Never married",932,34.9496217993388
"ind","married","Total","Inapplicable (age < 16)",515,17.6023642639006
"ind","race","Total","Hispanic",616,20.4085382769862
"ind","race","Total","White",1635,50.7662389640031
"ind","race","Total","Black",899,35.9700487131881
"ind","race","Total","Amer. Indian, AK Native, or mult. races",1239,96.6854500872219
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",860,68.3686032279036
"ind","sex","Total","Male",1078,33.4189814285648
"ind","sex","Total","Female",1489,37.7557958124244
"ind","education","Total","Less than high school",1616,93.8792760741363
"ind","education","Total","High school",1754,81.889259836407
"ind","education","Total","Some college",1765,46.4294245801435
"ind","education","Total","Inapplicable (age < 18)",541,18.1125777208252
"ind","education","Total","Missing",1371,329.087679716402
"ind","employed","Total","Employed",1214,23.9800324754587
"ind","employed","Total","Not employed",2922,92.3486357033624
"ind","employed","Total","Inapplicable (age < 16)",515,17.6023642639006
"ind","employed","Total","Missing",30452,15004.1022345118
"ind","insurance","Total","Any private, all ages",1387,33.6740881570272
"ind","insurance","Total","Public only, all ages",1352,73.7258445256125
"ind","insurance","Total","Uninsured, all ages",487,22.7044988331471
"ind","poverty","Total","Negative or poor",864,47.7049582224551
"ind","poverty","Total","Near-poor",1285,151.788503435085
"ind","poverty","Total","Low income",1057,45.1538909378319
"ind","poverty","Total","Middle income",1188,42.092610196284
"ind","poverty","Total","High income",1626,56.6336937186366
"ind","health","Total","Excellent",699,23.9800324754587
"ind","health","Total","Very good",1188,39.796649640123
"ind","health","Total","Good",1794,72.1952041548385
"ind","health","Total","Fair",3549,238.524791112276
"ind","health","Total","Poor",9655,679.604324623639
"ind","health","Total","Missing",14277,6438.63871966067
"ind","mnhlth","Total","Excellent",888,29.3372737731676
"ind","mnhlth","Total","Very good",1256,48.2151716793798
"ind","mnhlth","Total","Good",1804,79.0830858233214
"ind","mnhlth","Total","Fair",3632,298.21976557246
"ind","mnhlth","Total","Poor",7847,865.066916215751
"ind","mnhlth","Total","Missing",14277,6438.63871966067
"ind","agegrps_v2X","Total","Under 18",541,18.1125777208252
"ind","agegrps_v2X","Total","18-64",1302,30.8679141439416
"ind","agegrps_v2X","Total","65+",4292,152.043610163547
"ind","insurance_v2X","Total","<65, Any private",1162,28.3168468593183
"ind","insurance_v2X","Total","<65, Public only",702,37.2455823554997
"ind","insurance_v2X","Total","<65, Uninsured",490,22.1942853762224
"ind","insurance_v2X","Total","65+, Medicare only",3370,195.921967459067
"ind","insurance_v2X","Total","65+, Medicare and private",4902,235.973723827652
"ind","insurance_v2X","Total","65+, Medicare and other public",5728,484.192570621497
"ind","insurance_v2X","Total","65+, No medicare",918,645.420023009687
"event","sop","TOT","EXP",1286,29.0821670447053
"event","sop","TOT","SLF",292,6.12256148309585
"event","sop","TOT","PTR",829,19.3881113631369
"event","sop","TOT","MCR",1774,71.4298839694516
"event","sop","TOT","MCD",394,14.030870065428
"event","sop","TOT","OTZ",313,13.5206566085033
"event","sop","DVT","EXP",243,4.08170765539723
"event","sop","DVT","SLF",150,4.84702784078421
"event","sop","DVT","PTR",215,4.84702784078421
"event","sop","DVT","MCR",142,17.6023642639006
"event","sop","DVT","MCD",116,5.10213456924654
"event","sop","DVT","OTZ",173,13.7757633369657
"event","sop","RX","EXP",253,8.67362876771912
"event","sop","RX","SLF",94,2.55106728462327
"event","sop","RX","PTR",233,11.734909509267
"event","sop","RX","MCR",550,31.1230208724039
"event","sop","RX","MCD",75,5.61234802617119
"event","sop","RX","OTZ",98,10.7144825954177
"event","sop","OBV","EXP",464,9.18384222464377
