"rowGrp","colGrp","rowLevels","n","n_se"
"ind","usc","Total",34052,0
"ind","difficulty","Total",34544,0
"ind","rsn_MD","Total",1584,0
"ind","rsn_DN","Total",2156,0
"ind","rsn_PM","Total",1081,0
"ind","adult_nosmok","Total",2070,0
"ind","child_dental","Total",9008,0
"ind","diab_a1c","Total",2049,0
"ind","diab_chol","Total",2049,0
"ind","diab_eye","Total",2049,0
"ind","diab_foot","Total",2049,0
"ind","diab_flu","Total",2049,0
"ind","adult_routine","Total",13694,0
"ind","adult_illness","Total",6376,0
"ind","adult_listen","Total",14840,0
"ind","adult_explain","Total",14840,0
"ind","adult_respect","Total",14840,0
"ind","adult_time","Total",14840,0
"ind","adult_rating","Total",14840,0
"ind","child_routine","Total",6289,0
"ind","child_illness","Total",2083,0
"ind","child_listen","Total",7389,0
"ind","child_explain","Total",7389,0
"ind","child_respect","Total",7389,0
"ind","child_time","Total",7389,0
"ind","child_rating","Total",7389,0
"agegrps","usc","Under 5",2611,0
"agegrps","usc","5-17",7191,0
"agegrps","usc","18-44",12333,0
"agegrps","usc","45-64",8217,0
"agegrps","usc","65+",3700,0
"agegrps","difficulty","Under 5",2639,0
"agegrps","difficulty","5-17",7254,0
"agegrps","difficulty","18-44",12533,0
"agegrps","difficulty","45-64",8369,0
"agegrps","difficulty","65+",3749,0
"agegrps","rsn_MD","Under 5",43,0
"agegrps","rsn_MD","5-17",138,0
"agegrps","rsn_MD","18-44",667,0
"agegrps","rsn_MD","45-64",604,0
"agegrps","rsn_MD","65+",132,0
"agegrps","rsn_DN","Under 5",36,0
"agegrps","rsn_DN","5-17",224,0
"agegrps","rsn_DN","18-44",998,0
"agegrps","rsn_DN","45-64",710,0
"agegrps","rsn_DN","65+",188,0
"agegrps","rsn_PM","Under 5",14,0
"agegrps","rsn_PM","5-17",51,0
"agegrps","rsn_PM","18-44",385,0
"agegrps","rsn_PM","45-64",481,0
"agegrps","rsn_PM","65+",150,0
"agegrps","adult_nosmok","18-44",909,0
"agegrps","adult_nosmok","45-64",937,0
"agegrps","adult_nosmok","65+",224,0
"agegrps","child_dental","Under 5",1749,0
"agegrps","child_dental","5-17",7259,0
"agegrps","diab_a1c","18-44",295,0
"agegrps","diab_a1c","45-64",981,0
"agegrps","diab_a1c","65+",773,0
"agegrps","diab_chol","18-44",295,0
"agegrps","diab_chol","45-64",981,0
"agegrps","diab_chol","65+",773,0
"agegrps","diab_eye","18-44",295,0
"agegrps","diab_eye","45-64",981,0
"agegrps","diab_eye","65+",773,0
"agegrps","diab_foot","18-44",295,0
"agegrps","diab_foot","45-64",981,0
"agegrps","diab_foot","65+",773,0
"agegrps","diab_flu","18-44",295,0
"agegrps","diab_flu","45-64",981,0
"agegrps","diab_flu","65+",773,0
"agegrps","adult_routine","18-44",5722,0
"agegrps","adult_routine","45-64",5158,0
"agegrps","adult_routine","65+",2814,0
"agegrps","adult_illness","18-44",2865,0
"agegrps","adult_illness","45-64",2270,0
"agegrps","adult_illness","65+",1241,0
"agegrps","adult_listen","18-44",6404,0
"agegrps","adult_listen","45-64",5513,0
"agegrps","adult_listen","65+",2923,0
"agegrps","adult_explain","18-44",6404,0
"agegrps","adult_explain","45-64",5513,0
"agegrps","adult_explain","65+",2923,0
"agegrps","adult_respect","18-44",6404,0
"agegrps","adult_respect","45-64",5513,0
"agegrps","adult_respect","65+",2923,0
"agegrps","adult_time","18-44",6404,0
"agegrps","adult_time","45-64",5513,0
"agegrps","adult_time","65+",2923,0
"agegrps","adult_rating","18-44",6404,0
"agegrps","adult_rating","45-64",5513,0
"agegrps","adult_rating","65+",2923,0
"agegrps","child_routine","Under 5",1949,0
