"rowGrp","colGrp","rowLevels","colLevels","meanEXP","meanEXP_se"
"Condition","ind","Acute Bronchitis and URI","Total",370.138319149131,42.5662111417568
"Condition","ind","Allergic reactions","Total",493.519476434604,52.1825623450009
"Condition","ind","Anemia and other deficiencies","Total",1356.59808311115,363.121296662172
"Condition","ind","Appendicitis","Total",16563.7441134406,5540.6877683884
"Condition","ind","Back problems","Total",1977.63171948405,186.048839131155
"Condition","ind","Cancer","Total",5272.59293566927,523.371366902944
"Condition","ind","Cataract","Total",1461.65085372214,141.343209180074
"Condition","ind","Cerebrovascular disease","Total",7585.58946694779,1418.19005732821
"Condition","ind","Complications of pregnancy and birth","Total",3984.72352122384,1542.38925910499
"Condition","ind","Complications of surgery or device","Total",2646.16294558415,916.832373374721
"Condition","ind","Congenital anomalies","Total",4279.12161865568,1847.26188922178
"Condition","ind","COPD, asthma","Total",1736.57468436104,131.434499308768
"Condition","ind","Diabetes mellitus","Total",3559.94639315053,536.901559475164
"Condition","ind","Disorders of mouth and esophagus","Total",1328.37808939483,716.488556838286
"Condition","ind","Disorders of teeth and jaws","Total",363.726307127155,131.58993449505
"Condition","ind","Disorders of the upper GI","Total",1363.58150254577,267.122134080838
"Condition","ind","Epilepsy and convulsions","Total",2650.75409224426,773.678062192863
"Condition","ind","Female genital disorders, and contraception","Total",775.605962704726,64.8606487700201
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",8591.05771177198,3689.94553727711
"Condition","ind","Glaucoma","Total",914.528036674385,95.355605717992
"Condition","ind","Headache","Total",905.448973567064,152.173823529659
"Condition","ind","Heart disease","Total",4346.13353820423,344.081630242259
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",14722.1081595124,7939.44271563668
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",4498.4348861378,1002.05518129215
"Condition","ind","Hernias","Total",6222.34267375847,1164.40801206014
"Condition","ind","Hyperlipidemia","Total",768.104780178454,35.4258338958225
"Condition","ind","Hypertension","Total",812.16509709574,73.9951417360773
"Condition","ind","Infectious diseases","Total",2031.01572943377,495.069907929146
"Condition","ind","Influenza","Total",440.282510739076,53.3197427137804
"Condition","ind","Intestinal infection","Total",1114.97275073386,320.578268616036
"Condition","ind","Kidney Disease","Total",5624.16379532227,684.751844555569
"Condition","ind","Male genital disorders","Total",884.466500242583,109.165855816647
"Condition","ind","Mental disorders","Total",2208.54908661316,119.602872538812
"Condition","ind","Non-malignant breast disease","Total",1424.98829578352,484.257065170641
"Condition","ind","Non-malignant neoplasm","Total",1415.9882877672,256.620035314947
"Condition","ind","Normal birth/live born","Total",6401.7088214479,463.097817542844
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",1976.55557764482,110.520926519099
"Condition","ind","Other bone and musculoskeletal disease","Total",1647.10099178205,216.76813872043
"Condition","ind","Other care and screening","Total",847.785759882181,73.4252884713411
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",3342.22255022893,338.849436277712
"Condition","ind","Other CNS disorders","Total",1630.63700723424,183.124037133065
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1477.78880691732,271.175383175001
"Condition","ind","Other eye disorders","Total",793.424289523182,89.520182173629
"Condition","ind","Other GI","Total",2159.67986915624,276.527691888213
"Condition","ind","Other stomach and intestinal disorders","Total",8413.44469630218,2516.4086024792
"Condition","ind","Other urinary","Total",1086.94286255276,116.277992876018
"Condition","ind","Otitis media","Total",520.158444224253,73.1756157304875
"Condition","ind","Paralysis","Total",12501.9651560457,6371.88730827991
"Condition","ind","Perinatal Conditions","Total",6077.78996622814,3681.95594778602
"Condition","ind","Pneumonia","Total",4471.54193605722,593.644259944778
"Condition","ind","Poisoning by medical and non-medical substances","Total",1658.36601689683,593.31195797805
"Condition","ind","Residual Codes","Total",1180.57686957072,111.405737761722
"Condition","ind","Skin disorders","Total",981.137207139968,74.5893967660824
"Condition","ind","Symptoms","Total",924.580254505622,101.50786131742
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1878.67812366964,160.199126738824
"Condition","ind","Thyroid disease","Total",495.361758967777,109.888723460369
"Condition","ind","Tonsillitis","Total",923.454441928203,217.187927062981
"Condition","ind","Trauma-related disorders","Total",2753.68726987006,253.948736233921
"Condition","ind","Urinary tract infections","Total",1444.50730253905,252.665430317
"Condition","event","Acute Bronchitis and URI","ERT",671.522667280558,61.7928722179684
"Condition","event","Allergic reactions","ERT",732.712751286882,111.895847593949
"Condition","event","Anemia and other deficiencies","ERT",991.427004684895,350.518595046401
"Condition","event","Appendicitis","ERT",4004.63227795511,2220.5107397128
"Condition","event","Back problems","ERT",1298.87809973632,199.663656657282
"Condition","event","Cancer","ERT",1742.27664094852,491.555497712126
"Condition","event","Cataract","ERT",775.307229647195,548.377897321145
"Condition","event","Cerebrovascular disease","ERT",944.355034946163,188.230431016386
