"rowGrp","colGrp","rowLevels","n","n_se"
"ind","insurance","Total",21571,0
"ind","ins_lt65","Total",19022,0
"ind","ins_ge65","Total",2549,0
"agegrps","insurance","Under 5",1665,0
"agegrps","insurance","5-17",4621,0
"agegrps","insurance","18-44",8362,0
"agegrps","insurance","45-64",4374,0
"agegrps","insurance","65+",2549,0
"agegrps","ins_lt65","Under 5",1665,0
"agegrps","ins_lt65","5-17",4621,0
"agegrps","ins_lt65","18-44",8362,0
"agegrps","ins_lt65","45-64",4374,0
"agegrps","ins_ge65","65+",2549,0
"region","insurance","Northeast",4275,0
"region","insurance","Midwest",4668,0
"region","insurance","South",7494,0
"region","insurance","West",5134,0
"region","ins_lt65","Northeast",3709,0
"region","ins_lt65","Midwest",4050,0
"region","ins_lt65","South",6636,0
"region","ins_lt65","West",4627,0
"region","ins_ge65","Northeast",566,0
"region","ins_ge65","Midwest",618,0
"region","ins_ge65","South",858,0
"region","ins_ge65","West",507,0
"married","insurance","Married",8975,0
"married","insurance","Widowed",1151,0
"married","insurance","Divorced",1430,0
"married","insurance","Separated",394,0
"married","insurance","Never married",3935,0
"married","insurance","Inapplicable (age < 16)",5686,0
"married","ins_lt65","Married",7618,0
"married","ins_lt65","Widowed",277,0
"married","ins_lt65","Divorced",1242,0
"married","ins_lt65","Separated",361,0
"married","ins_lt65","Never married",3838,0
"married","ins_lt65","Inapplicable (age < 16)",5686,0
"married","ins_ge65","Married",1357,0
"married","ins_ge65","Widowed",874,0
"married","ins_ge65","Divorced",188,0
"married","ins_ge65","Separated",33,0
"married","ins_ge65","Never married",97,0
"race","insurance","Hispanic",4638,0
"race","insurance","Black",2907,0
"race","insurance","White and other",14026,0
"race","ins_lt65","Hispanic",4393,0
"race","ins_lt65","Black",2627,0
"race","ins_lt65","White and other",12002,0
"race","ins_ge65","Hispanic",245,0
"race","ins_ge65","Black",280,0
"race","ins_ge65","White and other",2024,0
"sex","insurance","Male",10289,0
"sex","insurance","Female",11282,0
"sex","ins_lt65","Male",9250,0
"sex","ins_lt65","Female",9772,0
"sex","ins_ge65","Male",1039,0
"sex","ins_ge65","Female",1510,0
"racesex","insurance","Female, Black",1594,0
"racesex","insurance","Female, Hispanic",2415,0
"racesex","insurance","Female, White and other",7273,0
"racesex","insurance","Male, Black",1313,0
"racesex","insurance","Male, Hispanic",2223,0
"racesex","insurance","Male, White and other",6753,0
"racesex","ins_lt65","Female, Black",1420,0
"racesex","ins_lt65","Female, Hispanic",2266,0
"racesex","ins_lt65","Female, White and other",6086,0
"racesex","ins_lt65","Male, Black",1207,0
"racesex","ins_lt65","Male, Hispanic",2127,0
"racesex","ins_lt65","Male, White and other",5916,0
"racesex","ins_ge65","Female, Black",174,0
"racesex","ins_ge65","Female, Hispanic",149,0
"racesex","ins_ge65","Female, White and other",1187,0
"racesex","ins_ge65","Male, Black",106,0
"racesex","ins_ge65","Male, Hispanic",96,0
"racesex","ins_ge65","Male, White and other",837,0
"education","insurance","Less than high school",3614,0
"education","insurance","High school",5150,0
"education","insurance","Some college",6325,0
"education","insurance","Inapplicable (age < 18)",6286,0
"education","insurance","Missing",196,0
"education","ins_lt65","Less than high school",2602,0
"education","ins_lt65","High school",4375,0
"education","ins_lt65","Some college",5663,0
"education","ins_lt65","Inapplicable (age < 18)",6286,0
"education","ins_lt65","Missing",96,0
"education","ins_ge65","Less than high school",1012,0
"education","ins_ge65","High school",775,0
"education","ins_ge65","Some college",662,0
"education","ins_ge65","Missing",100,0
"employed","insurance","Employed",9962,0
"employed","insurance","Not employed",6004,0
"employed","insurance","Inapplicable (age < 16)",5598,0
"employed","insurance","Missing",7,0
"employed","ins_lt65","Employed",9597,0
"employed","ins_lt65","Not employed",3820,0
"employed","ins_lt65","Inapplicable (age < 16)",5598,0
"employed","ins_lt65","Missing",7,0
