"rowGrp","colGrp","rowLevels","colLevels","totEXP","totEXP_se"
"Condition","ind","Acute Bronchitis and URI","Total",5676995720.81858,324828811.546842
"Condition","ind","Allergic reactions","Total",860671301.98946,101164428.404524
"Condition","ind","Anemia and other deficiencies","Total",2808551176.11211,1740660316.0541
"Condition","ind","Appendicitis","Total",1239778232.27607,324787551.49055
"Condition","ind","Back problems","Total",12983378714.7956,1181209350.11772
"Condition","ind","Cancer","Total",45526450007.2627,8179705615.15148
"Condition","ind","Cataract","Total",4679433736.20904,521402003.184553
"Condition","ind","Cerebrovascular disease","Total",16333298389.844,2577461422.94522
"Condition","ind","CNS infection","Total",134132905.451015,43620887.164489
"Condition","ind","Coma, brain damage","Total",458970562.606549,202141262.642454
"Condition","ind","Complications of pregnancy and birth","Total",2035993337.18292,533214436.436951
"Condition","ind","Complications of surgery or device","Total",555211524.728765,156310779.194679
"Condition","ind","Congenital anomalies","Total",3374626446.65712,794839200.184677
"Condition","ind","COPD, asthma","Total",28974227824.1758,2405291779.48919
"Condition","ind","Diabetes mellitus","Total",19659749359.8407,5559561747.17994
"Condition","ind","Disorders of mouth and esophagus","Total",286801140.958706,185485985.799593
"Condition","ind","Disorders of teeth and jaws","Total",1176275294.94903,340217936.469136
"Condition","ind","Disorders of the upper GI","Total",8072822418.41051,939825678.875699
"Condition","ind","Epilepsy and convulsions","Total",3335964386.07807,670583328.803234
"Condition","ind","Female genital disorders, and contraception","Total",8041518810.16614,975673394.536292
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",8296366421.50844,1461576474.89754
"Condition","ind","Glaucoma","Total",1651793448.58481,217579903.510555
"Condition","ind","Headache","Total",3400208328.86418,490517030.034478
"Condition","ind","Heart disease","Total",57506130404.7301,6336800908.19633
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",1367436390.05818,504737381.280228
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",3490425306.89268,609888019.590944
"Condition","ind","Hernias","Total",4103565898.73097,527958882.053362
"Condition","ind","Hyperlipidemia","Total",4678203508.51233,286948839.857417
"Condition","ind","Hypertension","Total",18241252788.0096,1048812821.82955
"Condition","ind","Infectious diseases","Total",5762296767.56561,649698132.616219
"Condition","ind","Influenza","Total",552850276.173522,120552919.910426
"Condition","ind","Intestinal infection","Total",2286075643.58914,418762980.361448
"Condition","ind","Kidney Disease","Total",9732004419.25586,1519996305.90294
"Condition","ind","Male genital disorders","Total",1916383602.73983,293332725.357443
"Condition","ind","Mental disorders","Total",29731309891.0922,2847486010.3427
"Condition","ind","Non-malignant breast disease","Total",1277035594.99219,234501456.377697
"Condition","ind","Non-malignant neoplasm","Total",3503145237.77363,649694888.357229
"Condition","ind","Normal birth/live born","Total",16806006949.3098,2140210133.87674
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",16306504404.2874,1420853907.04565
"Condition","ind","Other bone and musculoskeletal disease","Total",4188347148.39606,551624079.98493
"Condition","ind","Other care and screening","Total",5901389143.2535,431173330.508697
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",15991968873.1331,2296249669.60974
"Condition","ind","Other CNS disorders","Total",9057516487.03826,816810474.802699
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",7513380008.10481,1089030521.87428
"Condition","ind","Other eye disorders","Total",7215576640.85467,1897467487.07775
"Condition","ind","Other GI","Total",5256636583.98595,630494946.836069
"Condition","ind","Other stomach and intestinal disorders","Total",3299394223.39309,591179067.338108
"Condition","ind","Other urinary","Total",1717822008.3655,291823622.834129
"Condition","ind","Otitis media","Total",3282471605.49554,549805331.399107
"Condition","ind","Paralysis","Total",1772865286.27003,870793066.886642
"Condition","ind","Perinatal Conditions","Total",933668746.766713,689705867.08482
"Condition","ind","Pneumonia","Total",16267076664.5792,5727751568.13432
"Condition","ind","Poisoning by medical and non-medical substances","Total",1141463165.90332,230554941.266459
"Condition","ind","Residual Codes","Total",9910362803.47041,2467937837.09069
"Condition","ind","Skin disorders","Total",8752228607.25731,779843190.353746
"Condition","ind","Symptoms","Total",4275540026.48147,695956084.218989
"Condition","ind","Systemic lupus and connective tissues disorders","Total",7750816771.58689,664586757.602988
