"rowGrp","colGrp","rowLevels","colLevels","meanEVT","meanEVT_se"
"ind","ind","Total","Total",157.131187096989,3.87453926733789
"ind","event","Total","DVT",193.265865339917,5.23703465935231
"ind","event","Total","ERT",410.211261140709,15.9202942271706
"ind","event","Total","HHT",913.392488637693,105.262907354208
"ind","event","Total","IPT",8122.56300956597,360.158545886832
"ind","event","Total","OBV",103.055213166652,2.19553385392675
"ind","event","Total","OPT",419.510651583946,19.6052889606964
"ind","event","Total","RX",47.5284146113543,0.552917205887602
"ind","sop","Total","XP",157.131187096989,3.87453926733789
"ind","sop","Total","SF",28.6579411051096,0.519929927540198
"ind","sop","Total","PR",64.4759378677831,2.3462578119857
"ind","sop","Total","MR",33.4539753360868,1.96646066298483
"ind","sop","Total","MD",15.4596477028022,1.28337879447926
"ind","sop","Total","OZ",15.0836850852077,1.77217831047279
"ind","agegrps","Total","Under 5",171.952090953059,27.0740249940881
"ind","agegrps","Total","5-17",131.138224960127,6.26419284660451
"ind","agegrps","Total","18-44",153.837986718214,6.01195958309641
"ind","agegrps","Total","45-64",146.827440190863,6.16666842266855
"ind","agegrps","Total","65+",178.315430219289,7.31665650560105
"ind","region","Total","Northeast",153.851729527934,7.82560381465498
"ind","region","Total","Midwest",162.415741201754,7.70002350867711
"ind","region","Total","South",153.087941336982,6.83779563864701
"ind","region","Total","West",161.217599209823,7.81481866338674
"ind","married","Total","Married",162.516366240203,5.18236846398246
"ind","married","Total","Widowed",157.717014657983,7.75874206049971
"ind","married","Total","Divorced",158.266495465619,13.6423440632672
"ind","married","Total","Separated",133.477052534962,14.5260431361877
"ind","married","Total","Never married",150.858049344676,10.2590294191121
"ind","married","Total","Inapplicable (age < 16)",141.013596793667,9.67428014080479
"ind","race","Total","Hispanic",143.667867225237,7.6093084589903
"ind","race","Total","Black",191.446717454542,19.7161217465171
"ind","race","Total","White and other",154.633608186665,4.02559726979574
"ind","sex","Total","Male",180.51387050543,7.83370690790877
"ind","sex","Total","Female",142.226551534526,3.87630557906654
"ind","education","Total","Less than high school",162.177413181533,7.45292727487329
"ind","education","Total","High school",159.541396869342,8.10546813758697
"ind","education","Total","Some college",154.973841543492,5.4083657356963
"ind","education","Total","Inapplicable (age < 18)",141.84672101663,8.3206116246441
"ind","education","Total","Missing",281.012493080707,49.4235912137385
"ind","employed","Total","Employed",136.550652252453,3.67509277549766
