"rowGrp","colGrp","rowLevels","colLevels","medEXP","medEXP_se"
"ind","ind","Total","Total",1166,22.4493921046848
"ind","event","Total","TOT",1166,22.4493921046848
"ind","event","Total","DVT",214,3.31638747001025
"ind","event","Total","RX",371,9.94916241003075
"ind","event","Total","OBV",352,5.61234802617119
"ind","event","Total","OBD",283,4.08170765539723
"ind","event","Total","OBO",207,5.10213456924654
"ind","event","Total","OPT",672,36.2251554416504
"ind","event","Total","OPY",1146,60.9705081024962
"ind","event","Total","OPZ",337,16.3268306215889
"ind","event","Total","ERT",445,10.4593758669554
"ind","event","Total","IPT",7306,270.668238898529
"ind","event","Total","HHT",2317,196.177074187529
"ind","event","Total","OMA",205,4.33681438385956
"ind","sop","Total","EXP",1166,22.4493921046848
"ind","sop","Total","SLF",331,6.6327749400205
"ind","sop","Total","PTR",704,15.0512969792773
"ind","sop","Total","MCR",1131,48.9804918647668
"ind","sop","Total","MCD",415,19.8983248200615
"ind","sop","Total","OTZ",350,16.3268306215889
"ind","agegrps","Total","Under 5",444,17.3472575354382
"ind","agegrps","Total","5-17",467,15.3064037077396
"ind","agegrps","Total","18-44",824,23.2147122900718
"ind","agegrps","Total","45-64",2025,61.9909350163455
"ind","agegrps","Total","65+",4085,105.359078854941
"event","sop","TOT","EXP",1166,22.4493921046848
"event","sop","TOT","SLF",331,6.6327749400205
"event","sop","TOT","PTR",704,15.0512969792773
"event","sop","TOT","MCR",1131,48.9804918647668
"event","sop","TOT","MCD",415,19.8983248200615
"event","sop","TOT","OTZ",350,16.3268306215889
"event","sop","DVT","EXP",214,3.31638747001025
"event","sop","DVT","SLF",133,3.82660092693491
"event","sop","DVT","PTR",180,2.8061740130856
"event","sop","DVT","MCR",109,19.6432180915992
"event","sop","DVT","MCD",98,4.33681438385956
"event","sop","DVT","OTZ",160,12.500229694654
"event","sop","RX","EXP",371,9.94916241003075
"event","sop","RX","SLF",142,3.31638747001025
"event","sop","RX","PTR",217,5.86745475463352
"event","sop","RX","MCR",298,26.0208863031574
"event","sop","RX","MCD",177,14.796190250815
"event","sop","RX","OTZ",280,25.765779574695
"event","sop","OBV","EXP",352,5.61234802617119
"event","sop","OBV","SLF",75,1.27553364231164
"event","sop","OBV","PTR",240,4.33681438385956
"event","sop","OBV","MCR",505,18.8778979062122
"event","sop","OBV","MCD",166,5.10213456924654
"event","sop","OBV","OTZ",194,8.41852203925679
"event","sop","OBD","EXP",283,4.08170765539723
"event","sop","OBD","SLF",60,1.27553364231164
"event","sop","OBD","PTR",196,4.08170765539723
"event","sop","OBD","MCR",410,12.7553364231164
"event","sop","OBD","MCD",140,3.57149419847258
"event","sop","OBD","OTZ",173,6.37766821155818
"event","sop","OBO","EXP",207,5.10213456924654
"event","sop","OBO","SLF",65,2.55106728462327
"event","sop","OBO","PTR",148,3.31638747001025
"event","sop","OBO","MCR",184,12.500229694654
"event","sop","OBO","MCD",141,9.94916241003075
"event","sop","OBO","OTZ",170,14.030870065428
"event","sop","OPT","EXP",672,36.2251554416504
"event","sop","OPT","SLF",81,7.14298839694516
"event","sop","OPT","PTR",496,27.5515266739313
"event","sop","OPT","MCR",454,33.4189814285648
"event","sop","OPT","MCD",186,18.6227911777499
"event","sop","OPT","OTZ",251,27.5515266739313
"event","sop","OPY","EXP",1146,60.9705081024962
"event","sop","OPY","SLF",100,8.92873549618145
"event","sop","OPY","PTR",924,63.5215753871194
"event","sop","OPY","MCR",737,56.6336937186366
"event","sop","OPY","MCD",234,43.8783572955202
"event","sop","OPY","OTZ",307,51.0213456924654
"event","sop","OPZ","EXP",337,16.3268306215889
"event","sop","OPZ","SLF",55,3.82660092693491
"event","sop","OPZ","PTR",256,11.9900162377294
"event","sop","OPZ","MCR",201,18.1125777208252
"event","sop","OPZ","MCD",139,18.6227911777499
"event","sop","OPZ","OTZ",153,17.6023642639006
"event","sop","ERT","EXP",445,10.4593758669554
"event","sop","ERT","SLF",75,1.53064037077396
"event","sop","ERT","PTR",373,16.8370440785136
"event","sop","ERT","MCR",277,15.5615104362019
"event","sop","ERT","MCD",192,10.4593758669554
"event","sop","ERT","OTZ",248,24.7453526608457
"event","sop","IPT","EXP",7306,270.668238898529
"event","sop","IPT","SLF",307,27.296419945469
"event","sop","IPT","PTR",4442,220.922426848375
"event","sop","IPT","MCR",7767,466.590206357596
"event","sop","IPT","MCD",2621,277.811227295474
"event","sop","IPT","OTZ",1325,166.5846936859
"event","sop","HHT","EXP",2317,196.177074187529
"event","sop","HHT","SLF",250,85.7158607633419
"event","sop","HHT","PTR",404,118.114415278057
"event","sop","HHT","MCR",2640,275.260160010851
"event","sop","HHT","MCD",2654,520.672832791609
"event","sop","HHT","OTZ",769,81.6341531079446
"event","sop","OMA","EXP",205,4.33681438385956
"event","sop","OMA","SLF",150,2.55106728462327
"event","sop","OMA","PTR",150,5.10213456924654
"event","sop","OMA","MCR",165,13.0104431515787
"event","sop","OMA","MCD",125,8.41852203925679
"event","sop","OMA","OTZ",150,15.3064037077396
"event","agegrps","TOT","Under 5",444,17.3472575354382
"event","agegrps","TOT","5-17",467,15.3064037077396
"event","agegrps","TOT","18-44",824,23.2147122900718
"event","agegrps","TOT","45-64",2025,61.9909350163455
"event","agegrps","TOT","65+",4085,105.359078854941
"event","agegrps","DVT","Under 5",110,5.61234802617119
"event","agegrps","DVT","5-17",188,6.12256148309585
"event","agegrps","DVT","18-44",208,5.10213456924654
"event","agegrps","DVT","45-64",245,6.88788166848283
"event","agegrps","DVT","65+",272,13.5206566085033
"event","agegrps","RX","Under 5",56,3.06128074154792
"event","agegrps","RX","5-17",91,4.33681438385956
"event","agegrps","RX","18-44",203,8.41852203925679
"event","agegrps","RX","45-64",761,24.4902459323834
"event","agegrps","RX","65+",1336,46.4294245801435
"event","agegrps","OBV","Under 5",260,10.9695893238801
"event","agegrps","OBV","5-17",183,4.84702784078421
"event","agegrps","OBV","18-44",280,6.88788166848283
"event","agegrps","OBV","45-64",485,12.2451229661917
"event","agegrps","OBV","65+",826,20.9187517339108
"event","agegrps","OBD","Under 5",242,8.41852203925679
"event","agegrps","OBD","5-17",168,4.59192111232189
"event","agegrps","OBD","18-44",222,5.35724129770887
"event","agegrps","OBD","45-64",367,9.4389489531061
"event","agegrps","OBD","65+",606,19.3881113631369
"event","agegrps","OBO","Under 5",109,12.2451229661917
"event","agegrps","OBO","5-17",125,10.2042691384931
"event","agegrps","OBO","18-44",181,7.65320185386981
"event","agegrps","OBO","45-64",241,9.69405568156843
"event","agegrps","OBO","65+",288,16.3268306215889
"event","agegrps","OPT","Under 5",360,123.981870032691
"event","agegrps","OPT","5-17",333,54.8479466194003
"event","agegrps","OPT","18-44",682,58.1643340894106
"event","agegrps","OPT","45-64",779,70.1543503271399
"event","agegrps","OPT","65+",651,55.1030533478626
"event","agegrps","OPY","Under 5",958,351.537071821087
"event","agegrps","OPY","5-17",521,143.369981395828
"event","agegrps","OPY","18-44",962,103.06311829878
"event","agegrps","OPY","45-64",1487,111.481640338037
"event","agegrps","OPY","65+",1097,103.828438484167
"event","agegrps","OPZ","Under 5",275,51.0213456924654
"event","agegrps","OPZ","5-17",243,28.5719535877806
"event","agegrps","OPZ","18-44",399,28.827060316243
"event","agegrps","OPZ","45-64",363,22.7044988331471
"event","agegrps","OPZ","65+",279,31.6332343293285
"event","agegrps","ERT","Under 5",308,22.9596055616094
"event","agegrps","ERT","5-17",347,25.2555661177704
"event","agegrps","ERT","18-44",500,19.6432180915992
