"rowGrp","colGrp","rowLevels","colLevels","pctEXP","pctEXP_se"
"ind","ind","Total","Total",0.846737093989519,0.00359681779393405
"ind","event","Total","TOT",0.846737093989519,0.00359681779393405
"ind","event","Total","DVT",0.422838823086805,0.00595101834459302
"ind","event","Total","RX",0.631375658183549,0.00490043988042511
"ind","event","Total","OBV",0.713248405488347,0.00456849683746969
"ind","event","Total","OBD",0.666586785194393,0.00450670279597358
"ind","event","Total","OBO",0.309486982985745,0.00585045728423201
"ind","event","Total","OPT",0.158425778480532,0.00388014480134619
"ind","event","Total","OPY",0.0838766489264,0.0022845575625595
"ind","event","Total","OPZ",0.0990591957885123,0.00331407982316865
"ind","event","Total","ERT",0.129221837401849,0.00279212623202409
"ind","event","Total","IPT",0.0749891370816547,0.00189152941860204
"ind","event","Total","HHT",0.0216357360230027,0.00112316931149337
"ind","event","Total","OMA",0.199733558021441,0.00367746296186201
"ind","sop","Total","EXP",0.846737093989519,0.00359681779393405
"ind","sop","Total","SLF",0.773419477313733,0.00459112422154777
"ind","sop","Total","PTR",0.582865024639714,0.00654582308240847
"ind","sop","Total","MCR",0.136961432636985,0.00344386590001624
"ind","sop","Total","MCD",0.14006593727672,0.0038183454161394
"ind","sop","Total","OTZ",0.155021490013645,0.00313523183990366
"ind","agegrps","Total","Under 5",0.889265541715454,0.00824900726161538
"ind","agegrps","Total","5-17",0.834346340084213,0.00732114917574908
"ind","agegrps","Total","18-44",0.770873386423705,0.00574788191680209
"ind","agegrps","Total","45-64",0.897468287798439,0.00419065902823078
"ind","agegrps","Total","65+",0.96660625437479,0.00327364554901986
"event","sop","TOT","EXP",0.846737093989519,0.00359681779393405
"event","sop","TOT","SLF",0.773419477313733,0.00459112422154777
"event","sop","TOT","PTR",0.582865024639714,0.00654582308240847
"event","sop","TOT","MCR",0.136961432636985,0.00344386590001624
"event","sop","TOT","MCD",0.14006593727672,0.0038183454161394
"event","sop","TOT","OTZ",0.155021490013645,0.00313523183990366
"event","sop","DVT","EXP",0.422838823086805,0.00595101834459302
"event","sop","DVT","SLF",0.290432619615509,0.00546895716530198
"event","sop","DVT","PTR",0.267153923466121,0.00554117795871665
"event","sop","DVT","MCR",0.00295332474618625,0.000486793961715395
"event","sop","DVT","MCD",0.039386364803485,0.00187097058529695
"event","sop","DVT","OTZ",0.0177107308686103,0.00110800737363045
"event","sop","RX","EXP",0.631375658183549,0.00490043988042511
"event","sop","RX","SLF",0.600956397114581,0.00506948034225716
"event","sop","RX","PTR",0.385157039821106,0.005498532402291
"event","sop","RX","MCR",0.0308102088573183,0.00188742900635595
"event","sop","RX","MCD",0.0871455254743378,0.00274575222654326
"event","sop","RX","OTZ",0.0513578158994123,0.00182295954441684
"event","sop","OBV","EXP",0.713248405488347,0.00456849683746969
"event","sop","OBV","SLF",0.552704255375255,0.00582093243356784
"event","sop","OBV","PTR",0.482142676106293,0.00599095898508997
"event","sop","OBV","MCR",0.125032427288982,0.00336820123061325
"event","sop","OBV","MCD",0.103494377592934,0.00314591856813442
"event","sop","OBV","OTZ",0.10149993945003,0.00254354793056459
"event","sop","OBD","EXP",0.666586785194393,0.00450670279597358
"event","sop","OBD","SLF",0.502559439312583,0.00565897618852839
"event","sop","OBD","PTR",0.450930591789231,0.00573134689446783
"event","sop","OBD","MCR",0.120535036590381,0.00325650652579574
"event","sop","OBD","MCD",0.0958758786919385,0.00299222900061461
"event","sop","OBD","OTZ",0.0855651686482631,0.00228591986358476
"event","sop","OBO","EXP",0.309486982985745,0.00585045728423201
"event","sop","OBO","SLF",0.201902004515034,0.00494371177069827
"event","sop","OBO","PTR",0.200412494172418,0.00464997779273417
"event","sop","OBO","MCR",0.0563468382155353,0.00221670834508861
"event","sop","OBO","MCD",0.028834352260806,0.00143131330810427
"event","sop","OBO","OTZ",0.0364954962995246,0.0014295409484569
"event","sop","OPT","EXP",0.158425778480532,0.00388014480134619
"event","sop","OPT","SLF",0.0768567559202898,0.00262403339633291
"event","sop","OPT","PTR",0.10994639451422,0.00345094156272593
"event","sop","OPT","MCR",0.047558782822255,0.00215948879663712
"event","sop","OPT","MCD",0.0198106498612376,0.00104169058894809
"event","sop","OPT","OTZ",0.0222688208178506,0.00111915739907218
"event","sop","OPY","EXP",0.0838766489264,0.0022845575625595
"event","sop","OPY","SLF",0.0425844318864757,0.00181687169266677
"event","sop","OPY","PTR",0.0571096719327261,0.00199209685815772
"event","sop","OPY","MCR",0.0243358194385619,0.00122687386109086
"event","sop","OPY","MCD",0.0118466093558881,0.000740998367931979
"event","sop","OPY","OTZ",0.0132589369321065,0.000808199750159761
"event","sop","OPZ","EXP",0.0990591957885123,0.00331407982316865
"event","sop","OPZ","SLF",0.040999444590626,0.00185617083989702
"event","sop","OPZ","PTR",0.0694087426610416,0.0028268029166863
"event","sop","OPZ","MCR",0.0323092229983684,0.0018627098106592
"event","sop","OPZ","MCD",0.00996535153925455,0.000712707794592649
"event","sop","OPZ","OTZ",0.0113328436485946,0.000788387686155901
"event","sop","ERT","EXP",0.129221837401849,0.00279212623202409
"event","sop","ERT","SLF",0.0598689160089071,0.00169271417006616
"event","sop","ERT","PTR",0.073982079002357,0.00211858725025477
"event","sop","ERT","MCR",0.0285856688907625,0.00125779407471733
"event","sop","ERT","MCD",0.0281273231257345,0.00137281982995884
"event","sop","ERT","OTZ",0.0201754067879256,0.000906166871069465
"event","sop","IPT","EXP",0.0749891370816547,0.00189152941860204
"event","sop","IPT","SLF",0.0343492684004234,0.00143315920752214
"event","sop","IPT","PTR",0.0446933596597137,0.00161863880428578
"event","sop","IPT","MCR",0.0277780360189572,0.00127877118262394
"event","sop","IPT","MCD",0.0178039881843336,0.000891727959561173
"event","sop","IPT","OTZ",0.0128731865283975,0.000831797407967547
"event","sop","HHT","EXP",0.0216357360230027,0.00112316931149337
"event","sop","HHT","SLF",0.00484838656962332,0.000499625954332308
"event","sop","HHT","PTR",0.00252495868743212,0.000333886930659296
"event","sop","HHT","MCR",0.0124628529399586,0.000869458681237845
"event","sop","HHT","MCD",0.00601677052299026,0.000548978739001744
"event","sop","HHT","OTZ",0.00579651680690397,0.000499242947690542
"event","sop","OMA","EXP",0.199733558021441,0.00367746296186201
"event","sop","OMA","SLF",0.164658346252621,0.00335631154179528
"event","sop","OMA","PTR",0.060905012745304,0.0021182316634359
"event","sop","OMA","MCR",0.0103129733819903,0.000843227422294969
"event","sop","OMA","MCD",0.0154479289884547,0.000926477902161421
"event","sop","OMA","OTZ",0.0103920221431879,0.000772126692342266
"event","agegrps","TOT","Under 5",0.889265541715454,0.00824900726161538
"event","agegrps","TOT","5-17",0.834346340084213,0.00732114917574908
"event","agegrps","TOT","18-44",0.770873386423705,0.00574788191680209
"event","agegrps","TOT","45-64",0.897468287798439,0.00419065902823078
"event","agegrps","TOT","65+",0.96660625437479,0.00327364554901986
"event","agegrps","DVT","Under 5",0.171614119647257,0.0118993033757398
"event","agegrps","DVT","5-17",0.543328856797341,0.0113169943408715
"event","agegrps","DVT","18-44",0.371477491914389,0.00784580516862804
"event","agegrps","DVT","45-64",0.471370000631805,0.00768255433034665
"event","agegrps","DVT","65+",0.438931384111728,0.0131289463443027
"event","agegrps","RX","Under 5",0.540995917349168,0.0130844216476561
"event","agegrps","RX","5-17",0.478533726624784,0.00847309741569842
"event","agegrps","RX","18-44",0.549100459304285,0.00655845357249493
"event","agegrps","RX","45-64",0.748189903823354,0.00677107456386484
"event","agegrps","RX","65+",0.911328939679612,0.0055076289041932
"event","agegrps","OBV","Under 5",0.820928318012935,0.0105146616467772
"event","agegrps","OBV","5-17",0.663514003705528,0.0088502620071924
"event","agegrps","OBV","18-44",0.607373580484508,0.00700596016582453
"event","agegrps","OBV","45-64",0.778471097686646,0.00591143150791826
"event","agegrps","OBV","65+",0.912583894794905,0.00522468518501151
"event","agegrps","OBD","Under 5",0.804785528105618,0.011260434135429
"event","agegrps","OBD","5-17",0.622540288500826,0.00876713329966896
"event","agegrps","OBD","18-44",0.547202777038706,0.00678948546443513
"event","agegrps","OBD","45-64",0.728977310434377,0.00645456040684894
"event","agegrps","OBD","65+",0.887277283303378,0.00599712289701424
"event","agegrps","OBO","Under 5",0.144042920897728,0.0107573710648985
"event","agegrps","OBO","5-17",0.178485262197596,0.00788858567529517
"event","agegrps","OBO","18-44",0.262857482198,0.00721453347983619
"event","agegrps","OBO","45-64",0.414006332512276,0.0089062875088496
"event","agegrps","OBO","65+",0.516412283385866,0.0120350738165009
"event","agegrps","OPT","Under 5",0.0900786775960944,0.00834737917398795
"event","agegrps","OPT","5-17",0.0632826858526817,0.00401448987764926
"event","agegrps","OPT","18-44",0.104759749312627,0.00393500722764921
"event","agegrps","OPT","45-64",0.229154940577905,0.00669503904829846
"event","agegrps","OPT","65+",0.350266818161624,0.0119076898022106
"event","agegrps","OPY","Under 5",0.063086290095029,0.00719612749501218
"event","agegrps","OPY","5-17",0.0374169913130293,0.00300431423015688
"event","agegrps","OPY","18-44",0.0577629692692555,0.00285311671762016
"event","agegrps","OPY","45-64",0.11482942897137,0.00446449439406712
"event","agegrps","OPY","65+",0.177722458098322,0.00782540316718894
"event","agegrps","OPZ","Under 5",0.0295042269523699,0.00446369916508349
"event","agegrps","OPZ","5-17",0.0295698511702139,0.00263740200912697
"event","agegrps","OPZ","18-44",0.0600442191740241,0.00300205660605978
"event","agegrps","OPZ","45-64",0.153355695166464,0.00585046092034421
"event","agegrps","OPZ","65+",0.243793113901665,0.0118767226597721
"event","agegrps","ERT","Under 5",0.175053631427972,0.00996159145473573
"event","agegrps","ERT","5-17",0.101465356657109,0.00526306850860506
"event","agegrps","ERT","18-44",0.120237119863291,0.00388541250031235
"event","agegrps","ERT","45-64",0.118809844762958,0.00448554356329439
"event","agegrps","ERT","65+",0.192047341515459,0.00710486860263491
"event","agegrps","IPT","Under 5",0.0573240437660745,0.00561672206497648
"event","agegrps","IPT","5-17",0.0155015770897038,0.00184425466351317
"event","agegrps","IPT","18-44",0.0679111949680202,0.00266367108852641
"event","agegrps","IPT","45-64",0.0757450521948907,0.00353113089399528
"event","agegrps","IPT","65+",0.189149429009525,0.00761056918917774
"event","agegrps","HHT","Under 5",0.0105065716761412,0.00237235255468447
"event","agegrps","HHT","5-17",0.00400723702050667,0.000892366725643604
"event","agegrps","HHT","18-44",0.00538532905866456,0.000845087532025595
"event","agegrps","HHT","45-64",0.0178956650404041,0.00180558873351906
"event","agegrps","HHT","65+",0.108357410236684,0.00626680022029381
"event","agegrps","OMA","Under 5",0.0310681980798918,0.00459321380703672
"event","agegrps","OMA","5-17",0.138232285483154,0.00530865929753433
"event","agegrps","OMA","18-44",0.182558948145359,0.00514869643113551
"event","agegrps","OMA","45-64",0.25710301024732,0.00662431318617077
"event","agegrps","OMA","65+",0.314549994832771,0.0104196938396923
"sop","agegrps","EXP","Under 5",0.889265541715454,0.00824900726161538
"sop","agegrps","EXP","5-17",0.834346340084213,0.00732114917574908
"sop","agegrps","EXP","18-44",0.770873386423705,0.00574788191680209
"sop","agegrps","EXP","45-64",0.897468287798439,0.00419065902823078
"sop","agegrps","EXP","65+",0.96660625437479,0.00327364554901986
"sop","agegrps","SLF","Under 5",0.635117392143522,0.0144418492320967
"sop","agegrps","SLF","5-17",0.677567455966656,0.00921492727414554
"sop","agegrps","SLF","18-44",0.71663734897837,0.00635562076486751
"sop","agegrps","SLF","45-64",0.875615356426503,0.00480082764282857
"sop","agegrps","SLF","65+",0.950260350913952,0.00424707459153482
"sop","agegrps","PTR","Under 5",0.506518935230007,0.0154220801994715
"sop","agegrps","PTR","5-17",0.538068754943579,0.0108158329107283
"sop","agegrps","PTR","18-44",0.546684630725394,0.00848702193764592
"sop","agegrps","PTR","45-64",0.699127384517751,0.00750562172025609
"sop","agegrps","PTR","65+",0.564875305432146,0.0128860404472071
"sop","agegrps","MCR","Under 5",0.0130951492402823,0.00268868806686532
"sop","agegrps","MCR","5-17",0.00636597171714201,0.00126944136930606
"sop","agegrps","MCR","18-44",0.0167977253764241,0.00139508664825916
"sop","agegrps","MCR","45-64",0.0681108320982258,0.00302280348434787
"sop","agegrps","MCR","65+",0.881951918571922,0.00688756822193249
"sop","agegrps","MCD","Under 5",0.346114123339433,0.0137430616963326
"sop","agegrps","MCD","5-17",0.239806259622141,0.00803836328667169
"sop","agegrps","MCD","18-44",0.0973385348725123,0.00393789572794608
"sop","agegrps","MCD","45-64",0.0812089532685422,0.00400745434043866
"sop","agegrps","MCD","65+",0.131107553918708,0.00710601857053987
"sop","agegrps","OTZ","Under 5",0.114782913781251,0.00856861445762165
"sop","agegrps","OTZ","5-17",0.0804400378929747,0.0045036893164047
"sop","agegrps","OTZ","18-44",0.116975421881466,0.00397223003021806
"sop","agegrps","OTZ","45-64",0.165913537169208,0.0057320684077048
"sop","agegrps","OTZ","65+",0.374500265257175,0.0102837740321131
"ind","region","Total","Northeast",0.874747816212381,0.00843999670478515
"ind","region","Total","Midwest",0.875702961492429,0.00651357817860043
"ind","region","Total","South",0.832445839620424,0.00599271844053643
"ind","region","Total","West",0.81902165568226,0.00720044730133471
"ind","married","Total","Married",0.87541047809615,0.00398272429428146
