"rowGrp","colGrp","rowLevels","colLevels","meanEXP","meanEXP_se"
"Condition","ind","Acute Bronchitis and URI","Total",327.696548404462,51.7394423401593
"Condition","ind","Allergic reactions","Total",452.335929668851,76.4606595916877
"Condition","ind","Anemia and other deficiencies","Total",1818.25799708886,405.28150286794
"Condition","ind","Appendicitis","Total",8269.64701283396,1565.04938985649
"Condition","ind","Back problems","Total",1544.0172537641,95.4646205446266
"Condition","ind","Cancer","Total",7686.8418178664,832.905486820158
"Condition","ind","Cataract","Total",1381.07081533188,121.119861844859
"Condition","ind","Cerebrovascular disease","Total",7656.65549421635,840.438363133171
"Condition","ind","CNS infection","Total",11249.0514344234,4743.0473445683
"Condition","ind","Coma, brain damage","Total",11407.4583591459,6991.01457891692
"Condition","ind","Complications of pregnancy and birth","Total",1777.15187762131,287.422122847493
"Condition","ind","Complications of surgery or device","Total",2648.70058350381,914.920307578469
"Condition","ind","Congenital anomalies","Total",6229.17269081825,2757.96266968962
"Condition","ind","COPD, asthma","Total",1113.32964087493,73.1835804299571
"Condition","ind","Diabetes mellitus","Total",2115.87993354682,190.454368438106
"Condition","ind","Disorders of mouth and esophagus","Total",312.784969787849,108.803554858437
"Condition","ind","Disorders of teeth and jaws","Total",142.7938343927,21.7273930583265
"Condition","ind","Disorders of the upper GI","Total",1174.70133475975,75.3184031861469
"Condition","ind","Epilepsy and convulsions","Total",4207.71792822967,835.701741188694
"Condition","ind","Female genital disorders, and contraception","Total",839.522805780499,94.2008070079462
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",5984.54482220405,761.191720143501
"Condition","ind","Glaucoma","Total",988.2487243707,106.009445819624
"Condition","ind","Headache","Total",1012.1322170356,107.549832934414
"Condition","ind","Heart disease","Total",3949.31432401371,308.951816218407
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",2114.49787315396,656.996186011246
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",4311.00428360482,825.122176913875
"Condition","ind","Hernias","Total",2901.89401807581,363.863635499808
"Condition","ind","Hyperlipidemia","Total",858.277194779329,25.1458355409628
"Condition","ind","Hypertension","Total",805.954180108384,27.9900405902331
"Condition","ind","Infectious diseases","Total",961.125291938821,114.348927916994
"Condition","ind","Influenza","Total",191.015549758862,25.2856849641984
"Condition","ind","Intestinal infection","Total",476.091856465811,54.3551078669986
"Condition","ind","Kidney Disease","Total",5996.05503422075,805.451710119642
