"stat_var","stat_label","row_group","row_var","row_label","rowLevels","col_group","col_var","col_label","colLevels","coef","se","caption"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","No usual source of health care","63,271","2,042","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Office-based","197,579","5,171","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Hospital (not ER)","34,784","1,554","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Emergency room","1,300","196","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Any care","30,583","1,057","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Medical care","13,828","642","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Dental care","16,911","778","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","difficulty","Difficulty receiving needed care","Prescription medicines","9,398","502","Difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Couldn't afford","16,617","760","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Insurance related","3,932","306","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_ANY","Reasons for difficulty receiving needed care","Other","12,446","654","Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_MD","Reasons for difficulty receiving needed medical care","Couldn't afford","6,314","399","Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_MD","Reasons for difficulty receiving needed medical care","Insurance related","1,655","189","Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_MD","Reasons for difficulty receiving needed medical care","Other","6,072","383","Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_DN","Reasons for difficulty receiving needed dental care","Couldn't afford","11,600","677","Reasons for difficulty among persons with difficulty receiving needed dental care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_DN","Reasons for difficulty receiving needed dental care","Insurance related","1,129","148","Reasons for difficulty among persons with difficulty receiving needed dental care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_DN","Reasons for difficulty receiving needed dental care","Other","4,450","332","Reasons for difficulty among persons with difficulty receiving needed dental care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_PM","Reasons for difficulty receiving needed prescription medicines","Couldn't afford","4,890","331","Reasons for difficulty among persons with difficulty receiving needed prescription medicines, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_PM","Reasons for difficulty receiving needed prescription medicines","Insurance related","1,486","151","Reasons for difficulty among persons with difficulty receiving needed prescription medicines, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","rsn_PM","Reasons for difficulty receiving needed prescription medicines","Other","3,058","298","Reasons for difficulty among persons with difficulty receiving needed prescription medicines, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Preventive Care","adult_nosmok","Adults advised to quit smoking","Told to quit","20,958","798","Adults advised to quit smoking, number of people in thousands (standard errors), United States"
