"stat_var","stat_label","row_group","row_var","row_label","rowLevels","col_group","col_var","col_label","colLevels","coef","se","caption"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","No usual source of health care","72,346","2,399","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Office-based","158,093","4,570","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Hospital (not ER)","64,212","2,929","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Access to Care","usc","Usual source of care","Emergency room","821","143","Usual source of care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Preventive Care","child_dental","Children receiving dental care","One or more dental visits","37,629","1,376","Children ages 2-17 receiving dental care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Preventive Care","child_dental","Children receiving dental care","No dental visits in past year","28,712","1,151","Children ages 2-17 receiving dental care, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_a1c","Hemoglobin A1c measurement","Had measurement","18,892","817","Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_a1c","Hemoglobin A1c measurement","Did not have measurement","2,095","196","Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_a1c","Hemoglobin A1c measurement","Don't know/Non-response","5,286","335","Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_chol","Lipid profile","Don't know/Non-response","342","84","Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_chol","Lipid profile","In the past year","22,965","854","Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_chol","Lipid profile","More than 1 year ago","2,226","221","Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_chol","Lipid profile","Never had cholesterol checked","740","131","Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_eye","Eye exam","Don't know/Non-response","334","86","Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_eye","Eye exam","In the past year","17,661","771","Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_eye","Eye exam","More than 1 year ago","5,296","353","Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_eye","Eye exam","Never had eye exam","2,983","282","Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_foot","Foot care","Don't know/Non-response","402","94","Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_foot","Foot care","In the past year","18,065","702","Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_foot","Foot care","More than 1 year ago","2,357","225","Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_foot","Foot care","Never had feet checked","5,450","366","Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_flu","Flu shot","Don't know/Non-response","248","53","Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_flu","Flu shot","In the past year","17,790","800","Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_flu","Flu shot","More than 1 year ago","2,999","232","Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","","ind","(none)","Total","Diabetes Care","diab_flu","Flu shot","Never had flu shot","5,237","371","Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Access to Care","usc","Usual source of care","No usual source of health care","72,346","2,399","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Access to Care","usc","Usual source of care","Office-based","158,093","4,570","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Access to Care","usc","Usual source of care","Hospital (not ER)","64,212","2,929","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Access to Care","usc","Usual source of care","Emergency room","821","143","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 5","Access to Care","usc","Usual source of care","No usual source of health care","1,134","160","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","5-17","Access to Care","usc","Usual source of care","No usual source of health care","5,110","421","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-44","Access to Care","usc","Usual source of care","No usual source of health care","45,244","1,531","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","45-64","Access to Care","usc","Usual source of care","No usual source of health care","16,284","694","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 5","Access to Care","usc","Usual source of care","Office-based","12,141","694","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","5-17","Access to Care","usc","Usual source of care","Office-based","32,446","1,270","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-44","Access to Care","usc","Usual source of care","Office-based","41,444","1,564","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","45-64","Access to Care","usc","Usual source of care","Office-based","40,596","1,371","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 5","Access to Care","usc","Usual source of care","Hospital (not ER)","4,225","369","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","5-17","Access to Care","usc","Usual source of care","Hospital (not ER)","12,277","821","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-44","Access to Care","usc","Usual source of care","Hospital (not ER)","19,390","1,071","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","45-64","Access to Care","usc","Usual source of care","Hospital (not ER)","16,929","953","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 5","Access to Care","usc","Usual source of care","Emergency room",NA,NA,"Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","5-17","Access to Care","usc","Usual source of care","Emergency room","70*","25","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-44","Access to Care","usc","Usual source of care","Emergency room","350","81","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","45-64","Access to Care","usc","Usual source of care","Emergency room","235","61","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 18","Access to Care","usc","Usual source of care","No usual source of health care","6,244","519","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-64","Access to Care","usc","Usual source of care","No usual source of health care","61,529","1,942","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","65+","Access to Care","usc","Usual source of care","No usual source of health care","4,573","308","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 18","Access to Care","usc","Usual source of care","Office-based","44,586","1,731","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-64","Access to Care","usc","Usual source of care","Office-based","82,040","2,634","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","65+","Access to Care","usc","Usual source of care","Office-based","31,467","1,011","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 18","Access to Care","usc","Usual source of care","Hospital (not ER)","16,501","1,079","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-64","Access to Care","usc","Usual source of care","Hospital (not ER)","36,318","1,801","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","65+","Access to Care","usc","Usual source of care","Hospital (not ER)","11,392","681","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 18","Access to Care","usc","Usual source of care","Emergency room","104*","45","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","18-64","Access to Care","usc","Usual source of care","Emergency room","585","107","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","65+","Access to Care","usc","Usual source of care","Emergency room","133*","43","Usual source of care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Preventive Care","child_dental","Children receiving dental care","One or more dental visits","37,629","1,376","Children ages 2-17 receiving dental care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","All persons","Preventive Care","child_dental","Children receiving dental care","No dental visits in past year","28,712","1,151","Children ages 2-17 receiving dental care, number of people in thousands (standard errors) by age groups, United States"
"totPOP","Number of people","Demographics","agegrps","Age groups","Under 5","Preventive Care","child_dental","Children receiving dental care","One or more dental visits","5,279","363","Children ages 2-17 receiving dental care, number of people in thousands (standard errors) by age groups, United States"
