"rowGrp","colGrp","rowLevels","colLevels","meanEXP","meanEXP_se"
"ind","ind","Total","Total",5831.48221111292,155.206540367672
"ind","event","Total","TOT",5831.48221111292,155.206540367672
"ind","event","Total","DVT",714.184565227396,17.1000253820683
"ind","event","Total","RX",1892.95549360265,75.4990368559723
"ind","event","Total","OBV",1654.06220599638,40.7502724255824
"ind","event","Total","OBD",1198.4970071448,33.3647418754602
"ind","event","Total","OBO",1017.52091579839,31.4525987094452
"ind","event","Total","OPT",2649.89355043498,138.679676117603
"ind","event","Total","OPY",3021.86690081085,146.863997981938
"ind","event","Total","OPZ",1407.22254838532,168.151510554536
"ind","event","Total","ERT",1554.72839795666,84.8868710539493
"ind","event","Total","IPT",20811.3720514205,998.332311711878
"ind","event","Total","HHT",8115.37849508514,940.468882933653
"ind","event","Total","OMA",519.894731103455,30.4657695878378
"ind","sop","Total","EXP",5831.48221111292,155.206540367672
"ind","sop","Total","SLF",841.32633077553,18.5141283970038
"ind","sop","Total","PTR",3632.01441353238,140.760904565795
"ind","sop","Total","MCR",7849.69929511234,405.322771291971
"ind","sop","Total","MCD",2769.22310469015,106.463649795343
"ind","sop","Total","OTZ",2401.91693215726,188.41594571753
"ind","agegrps","Total","Under 5",1895.5363743562,244.379485317616
"ind","agegrps","Total","5-17",1955.85743085429,81.556431085068
"ind","agegrps","Total","18-44",3878.08893217183,163.786803196139
"ind","agegrps","Total","45-64",7896.12188563612,385.002696309105
"ind","agegrps","Total","65+",11445.9247440681,342.991433611361
"ind","region","Total","Northeast",7369.2328095864,635.317605352204
"ind","region","Total","Midwest",6157.65145368781,278.244235018787
"ind","region","Total","South",5395.3814284881,198.057126534595
"ind","region","Total","West",5040.17141113087,196.206337695411
"ind","married","Total","Married",6896.94258897549,236.2511204497
"ind","married","Total","Widowed",12709.8884831759,870.273197238155
"ind","married","Total","Divorced",9037.52952706229,557.370560490089
"ind","married","Total","Separated",6209.1458867029,608.755966586621
"ind","married","Total","Never married",4656.84754387683,268.042154684562
"ind","married","Total","Inapplicable (age < 16)",1865.26417754031,101.70226310095
"ind","race","Total","Hispanic",3843.05025130353,159.986992183048
"ind","race","Total","White",6620.45981977677,227.034036897978
"ind","race","Total","Black",5125.50145428976,273.295169510418
"ind","race","Total","Amer. Indian, AK Native, or mult. races",5241.00380416324,453.464351835765
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",4247.09040636942,442.97886322854
"ind","sex","Total","Male",5489.82590981881,202.276421236851
"ind","sex","Total","Female",6128.69713777209,184.893964626696
"ind","education","Total","Less than high school",6922.07890169303,465.88816501763
"ind","education","Total","High school",7202.70298956191,315.780463493658
"ind","education","Total","Some college",6972.57795887132,242.51710887774
"ind","education","Total","Inapplicable (age < 18)",1939.09032110321,89.8389751242293
"ind","education","Total","Missing",8983.70948698436,2161.24438481464
"ind","employed","Total","Employed",4603.85859539189,163.837560625444
"ind","employed","Total","Not employed",10188.2055840263,353.23529679808
"ind","employed","Total","Inapplicable (age < 16)",1865.26417754031,101.70226310095
"ind","employed","Total","Missing",25884.5838154123,15795.437279814
"ind","insurance","Total","Any private, all ages",5636.38367286703,179.240972025144
"ind","insurance","Total","Public only, all ages",7043.75289832301,322.340040122515
"ind","insurance","Total","Uninsured, all ages",2283.88015282894,199.446445955865
"ind","poverty","Total","Negative or poor",5649.94422784678,275.671186400817
"ind","poverty","Total","Near-poor",6125.9667100378,488.995523389495
"ind","poverty","Total","Low income",6678.7896286371,623.179815111354
"ind","poverty","Total","Middle income",5433.34245209549,270.33971927665
"ind","poverty","Total","High income",5854.75104216303,211.6137554099
"ind","health","Total","Excellent",2641.36823642693,120.051829939904
"ind","health","Total","Very good",3998.05830479691,136.852163148637
"ind","health","Total","Good",7182.26306760198,302.515599628779
"ind","health","Total","Fair",12850.8406739732,583.624796572059
"ind","health","Total","Poor",27405.352626493,2826.82348657158
"ind","health","Total","Missing",23843.84972878,8621.82489448032
"ind","mnhlth","Total","Excellent",3750.18032223064,154.825650066706
"ind","mnhlth","Total","Very good",5215.62807189337,226.449603590733
"ind","mnhlth","Total","Good",7453.26725078585,295.746966640436
"ind","mnhlth","Total","Fair",12739.8523654589,742.974614125814
"ind","mnhlth","Total","Poor",19918.2293715962,2520.31764255022
"ind","mnhlth","Total","Missing",23935.7730652424,8410.64390087783
"ind","agegrps_v2X","Total","Under 18",1939.09032110321,89.8389751242293
"ind","agegrps_v2X","Total","18-64",5738.79062518896,215.850465345919
"ind","agegrps_v2X","Total","65+",11445.9247440681,342.991433611361
"ind","insurance_v2X","Total","<65, Any private",4686.50844856123,175.281796023362
"ind","insurance_v2X","Total","<65, Public only",5180.5751861734,415.319965769652
"ind","insurance_v2X","Total","<65, Uninsured",2239.49822736362,193.96407794742
"ind","insurance_v2X","Total","65+, Medicare only",10378.9295269516,500.58112940967
"ind","insurance_v2X","Total","65+, Medicare and private",11535.8290171601,526.509227706721
"ind","insurance_v2X","Total","65+, Medicare and other public",14858.8476132506,933.046279055208
"ind","insurance_v2X","Total","65+, No medicare",5984.92897397395,1549.81725833638
"event","sop","TOT","EXP",5831.48221111292,155.206540367672
"event","sop","TOT","SLF",841.32633077553,18.5141283970038
"event","sop","TOT","PTR",3632.01441353238,140.760904565795
"event","sop","TOT","MCR",7849.69929511234,405.322771291971
"event","sop","TOT","MCD",2769.22310469015,106.463649795343
"event","sop","TOT","OTZ",2401.91693215726,188.41594571753
"event","sop","DVT","EXP",714.184565227396,17.1000253820683
"event","sop","DVT","SLF",534.976715759415,18.2540783555345
"event","sop","DVT","PTR",498.339248319611,16.7465241339352
"event","sop","DVT","MCR",455.505228368378,38.8866271415641
"event","sop","DVT","MCD",397.449500471531,23.0615129035689
"event","sop","DVT","OTZ",521.575985894612,69.3249082084305
"event","sop","RX","EXP",1892.95549360265,75.4990368559723
"event","sop","RX","SLF",283.9898580265,8.25661531770156
"event","sop","RX","PTR",1435.65708258721,92.5611269220238
"event","sop","RX","MCR",2885.20825007795,234.654395928257
"event","sop","RX","MCD",1196.96754997156,69.8489906504486
"event","sop","RX","OTZ",887.350963629015,64.10959364374
"event","sop","OBV","EXP",1654.06220599638,40.7502724255824
"event","sop","OBV","SLF",346.433888227535,10.9332809908487
"event","sop","OBV","PTR",1119.2866818569,34.4178137768532
"event","sop","OBV","MCR",1897.17305715229,87.9352861311732
"event","sop","OBV","MCD",766.449406022212,43.2581351178826
"event","sop","OBV","OTZ",1124.79293913164,81.3909374888401
"event","sop","OBD","EXP",1198.4970071448,33.3647418754602
"event","sop","OBD","SLF",242.021857479414,9.82839841343915
"event","sop","OBD","PTR",831.085578709833,29.5490123912562
"event","sop","OBD","MCR",1410.98551121015,74.7768642773152
"event","sop","OBD","MCD",511.649595818136,35.8590338401304
"event","sop","OBD","OTZ",899.16512780758,78.9876659220233
"event","sop","OBO","EXP",1017.52091579839,31.4525987094452
"event","sop","OBO","SLF",286.114951331127,10.8310563558755
"event","sop","OBO","PTR",689.187482057861,29.0437215579731
"event","sop","OBO","MCR",962.847126067553,65.795415387562
"event","sop","OBO","MCD",816.373374819803,68.7461565192542
"event","sop","OBO","OTZ",895.860791958262,93.6887327670521
"event","sop","OPT","EXP",2649.89355043498,138.679676117603
"event","sop","OPT","SLF",402.458757989638,28.7148405582208
"event","sop","OPT","PTR",2326.07094728348,152.512670647871
"event","sop","OPT","MCR",1803.03043508791,220.721783961602
"event","sop","OPT","MCD",1372.62863410045,293.359558494801
"event","sop","OPT","OTZ",1287.73756182886,149.713269721349
"event","sop","OPY","EXP",3021.86690081085,146.863997981938
"event","sop","OPY","SLF",475.711211064584,39.9047134052052
"event","sop","OPY","PTR",2920.6980850526,186.98476879864
"event","sop","OPY","MCR",1956.31925839725,231.029507106714
"event","sop","OPY","MCD",1219.62195281144,174.096637777507
"event","sop","OPY","OTZ",1423.47140449093,161.589682538778
"event","sop","OPZ","EXP",1407.22254838532,168.151510554536
"event","sop","OPZ","SLF",210.279657483542,16.2688266896958
"event","sop","OPZ","PTR",1069.66717419105,136.346698559306
"event","sop","OPZ","MCR",1106.89783652122,286.663652092616
"event","sop","OPZ","MCD",1221.60286013067,577.949491995758
"event","sop","OPZ","OTZ",680.496501783597,122.73976925271
"event","sop","ERT","EXP",1554.72839795666,84.8868710539493
"event","sop","ERT","SLF",355.179071042519,22.6193571046803
"event","sop","ERT","PTR",1644.66651897136,140.260280191763
"event","sop","ERT","MCR",956.023891790121,61.3763607931874
"event","sop","ERT","MCD",582.259036735504,28.959608949648
"event","sop","ERT","OTZ",1001.71149680656,102.965831057159
"event","sop","IPT","EXP",20811.3720514205,998.332311711878
"event","sop","IPT","SLF",984.799423183712,71.6858763519677
"event","sop","IPT","PTR",16908.8776027153,1599.7473543125
"event","sop","IPT","MCR",16217.7347302583,913.890262734041
"event","sop","IPT","MCD",7802.4895073357,877.006506985732
"event","sop","IPT","OTZ",7798.98794230052,1180.77581949264
"event","sop","HHT","EXP",8115.37849508514,940.468882933653
"event","sop","HHT","SLF",5361.9392758216,1273.46542050022
"event","sop","HHT","PTR",2917.06462439076,439.684153856334
"event","sop","HHT","MCR",5314.58542889962,386.939725167916
"event","sop","HHT","MCD",9868.29763836787,1139.40935489689
"event","sop","HHT","OTZ",7775.21987627748,4017.46295970498
"event","sop","OMA","EXP",519.894731103455,30.4657695878378
"event","sop","OMA","SLF",311.763259119668,14.3165860190897
"event","sop","OMA","PTR",425.974988813131,40.2082091642803
"event","sop","OMA","MCR",772.978630006193,133.175899593399
"event","sop","OMA","MCD",456.689403842846,124.877698627571
"event","sop","OMA","OTZ",411.408356954206,75.6851208052078
"event","agegrps","TOT","Under 5",1895.5363743562,244.379485317616
