"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"Condition","ind","Acute Bronchitis and URI","Total",3784,0
"Condition","ind","Allergic reactions","Total",664,0
"Condition","ind","Anemia and other deficiencies","Total",282,0
"Condition","ind","Appendicitis","Total",36,0
"Condition","ind","Back problems","Total",1617,0
"Condition","ind","Cancer","Total",1032,0
"Condition","ind","Cataract","Total",418,0
"Condition","ind","Cerebrovascular disease","Total",245,0
"Condition","ind","CNS infection","Total",22,0
"Condition","ind","Coma, brain damage","Total",7,0
"Condition","ind","Complications of pregnancy and birth","Total",125,0
"Condition","ind","Complications of surgery or device","Total",142,0
"Condition","ind","Congenital anomalies","Total",144,0
"Condition","ind","COPD, asthma","Total",5434,0
"Condition","ind","Diabetes mellitus","Total",1579,0
"Condition","ind","Disorders of mouth and esophagus","Total",128,0
"Condition","ind","Disorders of teeth and jaws","Total",849,0
"Condition","ind","Disorders of the upper GI","Total",1809,0
"Condition","ind","Epilepsy and convulsions","Total",263,0
"Condition","ind","Female genital disorders, and contraception","Total",1907,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",251,0
"Condition","ind","Glaucoma","Total",320,0
"Condition","ind","Headache","Total",851,0
"Condition","ind","Heart disease","Total",1904,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",133,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",123,0
"Condition","ind","Hernias","Total",264,0
"Condition","ind","Hyperlipidemia","Total",1743,0
"Condition","ind","Hypertension","Total",3839,0
"Condition","ind","Infectious diseases","Total",1772,0
"Condition","ind","Influenza","Total",488,0
"Condition","ind","Intestinal infection","Total",771,0
"Condition","ind","Kidney Disease","Total",329,0
"Condition","ind","Male genital disorders","Total",338,0
"Condition","ind","Mental disorders","Total",2857,0
"Condition","ind","Non-malignant breast disease","Total",279,0
"Condition","ind","Non-malignant neoplasm","Total",427,0
"Condition","ind","Normal birth/live born","Total",732,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",2425,0
"Condition","ind","Other bone and musculoskeletal disease","Total",679,0
"Condition","ind","Other care and screening","Total",2733,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",683,0
"Condition","ind","Other CNS disorders","Total",1400,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1384,0
"Condition","ind","Other eye disorders","Total",1499,0
"Condition","ind","Other GI","Total",831,0
"Condition","ind","Other stomach and intestinal disorders","Total",166,0
"Condition","ind","Other urinary","Total",428,0
"Condition","ind","Otitis media","Total",1455,0
"Condition","ind","Paralysis","Total",36,0
"Condition","ind","Perinatal Conditions","Total",18,0
"Condition","ind","Pneumonia","Total",420,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",209,0
"Condition","ind","Residual Codes","Total",1909,0
"Condition","ind","Skin disorders","Total",2502,0
"Condition","ind","Symptoms","Total",665,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1456,0
"Condition","ind","Thyroid disease","Total",1144,0
"Condition","ind","Tonsillitis","Total",158,0
"Condition","ind","Trauma-related disorders","Total",3679,0
"Condition","ind","Urinary tract infections","Total",824,0
"Condition","event","Acute Bronchitis and URI","ERT",153,0
"Condition","event","Allergic reactions","ERT",62,0
"Condition","event","Anemia and other deficiencies","ERT",8,0
"Condition","event","Appendicitis","ERT",18,0
"Condition","event","Back problems","ERT",102,0
"Condition","event","Cancer","ERT",38,0
"Condition","event","Cataract","ERT",1,0
"Condition","event","Cerebrovascular disease","ERT",59,0
"Condition","event","CNS infection","ERT",10,0
"Condition","event","Coma, brain damage","ERT",2,0
"Condition","event","Complications of pregnancy and birth","ERT",20,0
"Condition","event","Complications of surgery or device","ERT",17,0
"Condition","event","Congenital anomalies","ERT",11,0
"Condition","event","COPD, asthma","ERT",348,0
"Condition","event","Diabetes mellitus","ERT",62,0
"Condition","event","Disorders of mouth and esophagus","ERT",5,0
"Condition","event","Disorders of teeth and jaws","ERT",31,0
"Condition","event","Disorders of the upper GI","ERT",112,0
"Condition","event","Epilepsy and convulsions","ERT",52,0
"Condition","event","Female genital disorders, and contraception","ERT",55,0
"Condition","event","Gallbladder, pancreatic, and liver disease","ERT",57,0
"Condition","event","Glaucoma","ERT",1,0
"Condition","event","Headache","ERT",88,0
"Condition","event","Heart disease","ERT",270,0
"Condition","event","Hemorrhagic, coagulation, and disorders of White Blood cells","ERT",9,0
"Condition","event","Hereditary, degenerative and other nervous system disorders","ERT",4,0
"Condition","event","Hernias","ERT",15,0
"Condition","event","Hyperlipidemia","ERT",2,0
"Condition","event","Hypertension","ERT",86,0
"Condition","event","Infectious diseases","ERT",133,0
"Condition","event","Influenza","ERT",32,0
"Condition","event","Intestinal infection","ERT",86,0
"Condition","event","Kidney Disease","ERT",87,0
"Condition","event","Male genital disorders","ERT",11,0
"Condition","event","Mental disorders","ERT",108,0
"Condition","event","Non-malignant breast disease","ERT",1,0
"Condition","event","Non-malignant neoplasm","ERT",3,0
"Condition","event","Normal birth/live born","ERT",85,0
"Condition","event","Osteoarthritis and other non-traumatic joint disorders","ERT",74,0
"Condition","event","Other bone and musculoskeletal disease","ERT",11,0
"Condition","event","Other care and screening","ERT",19,0
"Condition","event","Other circulatory conditions arteries, veins, and lymphatics","ERT",55,0
"Condition","event","Other CNS disorders","ERT",95,0
"Condition","event","Other endocrine, nutritional & immune disorder","ERT",63,0
"Condition","event","Other eye disorders","ERT",48,0
"Condition","event","Other GI","ERT",64,0
"Condition","event","Other stomach and intestinal disorders","ERT",25,0
"Condition","event","Other urinary","ERT",6,0
"Condition","event","Otitis media","ERT",139,0
