"rowGrp","colGrp","rowLevels","colLevels","totPOP","totPOP_se"
"ind","insurance","Total","Any private, all ages",201723332.724635,5060329.85981256
"ind","insurance","Total","Public only, all ages",61824419.966902,2060414.82887925
"ind","insurance","Total","Uninsured, all ages",40828189.095415,1591928.96568388
"ind","ins_lt65","Total","<65, Any private",181592183.068272,4665883.48837762
"ind","ins_lt65","Total","<65, Public only",42360436.384121,1711127.10807649
"ind","ins_lt65","Total","<65, Uninsured",40681146.106563,1587966.85287192
"ind","ins_lt65","Total","65+, Medicare only",0,0
"ind","ins_lt65","Total","65+, Medicare and private",0,0
"ind","ins_lt65","Total","65+, Medicare and other public",0,0
"ind","ins_lt65","Total","65+, No medicare",0,0
"ind","ins_ge65","Total","<65, Any private",0,0
"ind","ins_ge65","Total","<65, Public only",0,0
"ind","ins_ge65","Total","<65, Uninsured",0,0
"ind","ins_ge65","Total","65+, Medicare only",15128486.182758,759404.102338183
"ind","ins_ge65","Total","65+, Medicare and private",19765650.794875,1018044.9407819
"ind","ins_ge65","Total","65+, Medicare and other public",4323103.847004,305607.603144976
"ind","ins_ge65","Total","65+, No medicare",524935.403359,101918.821209426
"agegrps","insurance","Under 5","Any private, all ages",11926559.479179,589151.597946525
"agegrps","insurance","Under 5","Public only, all ages",7750174.336309,448190.345036475
"agegrps","insurance","Under 5","Uninsured, all ages",1196252.596915,159048.695790279
"agegrps","insurance","5-17","Any private, all ages",33291494.522387,1383943.47382167
"agegrps","insurance","5-17","Public only, all ages",15748264.296936,798876.965803937
"agegrps","insurance","5-17","Uninsured, all ages",4380008.612287,421666.024358968
"agegrps","insurance","18-44","Any private, all ages",76070400.58272,2009910.48522702
"agegrps","insurance","18-44","Public only, all ages",11471405.898671,597085.178674468
"agegrps","insurance","18-44","Uninsured, all ages",23443151.711428,1009849.17140624
"agegrps","insurance","45-64","Any private, all ages",60303728.483986,1826227.11648576
"agegrps","insurance","45-64","Public only, all ages",7390591.852205,355091.66914554
"agegrps","insurance","45-64","Uninsured, all ages",11661733.185933,503227.549890984
"agegrps","insurance","65+","Any private, all ages",20131149.656363,1042211.76604731
"agegrps","insurance","65+","Public only, all ages",19463983.582781,859384.6971917
"agegrps","insurance","65+","Uninsured, all ages",147042.988852,38745.0861515351
"agegrps","ins_lt65","Under 5","<65, Any private",11926559.479179,589151.597946525
"agegrps","ins_lt65","Under 5","<65, Public only",7750174.336309,448190.345036475
"agegrps","ins_lt65","Under 5","<65, Uninsured",1196252.596915,159048.695790279
"agegrps","ins_lt65","Under 5","65+, Medicare only",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and private",0,0
"agegrps","ins_lt65","Under 5","65+, Medicare and other public",0,0
"agegrps","ins_lt65","Under 5","65+, No medicare",0,0
"agegrps","ins_lt65","5-17","<65, Any private",33291494.522387,1383943.47382167
"agegrps","ins_lt65","5-17","<65, Public only",15748264.296936,798876.965803937
"agegrps","ins_lt65","5-17","<65, Uninsured",4380008.612287,421666.024358968
"agegrps","ins_lt65","5-17","65+, Medicare only",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and private",0,0
"agegrps","ins_lt65","5-17","65+, Medicare and other public",0,0
"agegrps","ins_lt65","5-17","65+, No medicare",0,0
