"rowGrp","colGrp","rowLevels","colLevels","totEVT","totEVT_se"
"ind","ind","Total","Total",5638931065.66324,143213791.006173
"ind","event","Total","DVT",307593219.16712,8933042.14065356
"ind","event","Total","ERT",63983708.569293,1970802.46213614
"ind","event","Total","HHT",42849562.213758,3164988.8239753
"ind","event","Total","IPT",29886963.425658,1231570.14696295
"ind","event","Total","OBV",1747476418.28145,49283006.9052611
"ind","event","Total","OPT",137355937.834294,6521879.02154616
"ind","event","Total","RX",3309785256.17167,90038976.5317925
"ind","sop","Total","XP",5495159625.69245,139208738.066637
"ind","sop","Total","SF",3667515324.61086,102040819.072411
"ind","sop","Total","PR",1829013007.79133,62839539.2501993
"ind","sop","Total","MR",1507239249.46962,58603836.6274546
"ind","sop","Total","MD",747479379.203999,30802867.6978856
"ind","sop","Total","OZ",385100654.646756,18761368.236982
"ind","agegrps","Total","Under 5",126320419.685154,7349005.91973155
"ind","agegrps","Total","5-17",415835391.861858,19156469.4596766
"ind","agegrps","Total","18-44",1118631508.85729,41282263.1072146
"ind","agegrps","Total","45-64",2039296788.68975,63600395.6664441
"ind","agegrps","Total","65+",1938846956.56918,77162334.4179903
"ind","region","Total","Northeast",1069223994.85103,63002837.4190465
"ind","region","Total","Midwest",1358174455.06281,69496528.8250012
"ind","region","Total","South",2051375509.75179,88262156.6891266
"ind","region","Total","West",1160157105.9976,42068884.1350684
"ind","married","Total","Married",2704208076.33695,91315056.7209197
"ind","married","Total","Widowed",659755125.821096,34609796.2889712
"ind","married","Total","Divorced",803264141.894921,35513915.6625213
"ind","married","Total","Separated",129005089.677789,15403665.9341306
"ind","married","Total","Never married",880282303.01521,34418057.0135209
"ind","married","Total","Inapplicable (age < 16)",462416328.917266,18709611.3758236
"ind","race","Total","Hispanic",567753772.226453,38215746.689902
"ind","race","Total","White",4125001397.57836,136185002.593111
"ind","race","Total","Black",600861481.781096,36702009.1576008
"ind","race","Total","Amer. Indian, AK Native, or mult. races",158162125.123269,17137208.9363501
"ind","race","Total","Asian, Hawaiian, or Pacific Islander",187152288.954054,17905345.556503
"ind","sex","Total","Male",2371063002.24133,70970183.790369
"ind","sex","Total","Female",3267868063.4219,89300817.9298001
"ind","education","Total","Less than high school",751140672.134456,33883455.3399501
"ind","education","Total","High school",1421581034.60053,55563424.4343725
"ind","education","Total","Some college",2899331307.17222,91892868.9690466
"ind","education","Total","Inapplicable (age < 18)",542155811.547012,22091000.9032807
"ind","education","Total","Missing",24722240.209017,5269845.32258235
"ind","employed","Total","Employed",2085571306.8234,64455174.676313
"ind","employed","Total","Not employed",3090272210.45067,101450580.868066
"ind","employed","Total","Inapplicable (age < 16)",462416328.917266,18709611.3758236
"ind","insurance","Total","Any private, all ages",3448664112.46049,111135454.007142
"ind","insurance","Total","Public only, all ages",1905393417.90891,68277589.1977824
"ind","insurance","Total","Uninsured, all ages",284873535.293833,22737862.7938332
"ind","poverty","Total","Negative or poor",835658171.825019,36412635.1501905
"ind","poverty","Total","Near-poor",317769343.266434,25778810.1702265
"ind","poverty","Total","Low income",836176904.098602,41928662.9515044
"ind","poverty","Total","Middle income",1542514068.12271,58416804.2693266
"ind","poverty","Total","High income",2106812578.35047,82912103.3155682
"ind","health","Total","Excellent",843036320.829629,36653881.0819866
"ind","health","Total","Very good",1512485824.52626,50605505.1170486
"ind","health","Total","Good",1719756196.54214,57205538.6470595
"ind","health","Total","Fair",1038657882.51933,46806660.5663838
"ind","health","Total","Poor",523543238.862333,37728830.1449323
"ind","mnhlth","Total","Excellent",1528519183.79852,58646363.1183987
"ind","mnhlth","Total","Very good",1482297169.15009,51926397.3326044
"ind","mnhlth","Total","Good",1718606572.73052,58615678.3923161
"ind","mnhlth","Total","Fair",681489637.205894,34953896.493175
"ind","mnhlth","Total","Poor",226391315.009522,21026392.5336977
"ind","agegrps_v2X","Total","Under 18",542155811.547012,22091000.9032807
"ind","agegrps_v2X","Total","18-64",3157928297.54704,88516636.7145584
