"rowGrp","colGrp","rowLevels","n","n_se"
"ind","insurance","Total",32122,0
"ind","ins_lt65","Total",28295,0
"ind","ins_ge65","Total",3827,0
"agegrps","insurance","Under 5",2418,0
"agegrps","insurance","5-17",6812,0
"agegrps","insurance","18-44",11860,0
"agegrps","insurance","45-64",7205,0
"agegrps","insurance","65+",3827,0
"agegrps","ins_lt65","Under 5",2418,0
"agegrps","ins_lt65","5-17",6812,0
"agegrps","ins_lt65","18-44",11860,0
"agegrps","ins_lt65","45-64",7205,0
"agegrps","ins_ge65","65+",3827,0
"region","insurance","Northeast",5063,0
"region","insurance","Midwest",6679,0
"region","insurance","South",12003,0
"region","insurance","West",8377,0
"region","ins_lt65","Northeast",4379,0
"region","ins_lt65","Midwest",5805,0
"region","ins_lt65","South",10545,0
"region","ins_lt65","West",7566,0
"region","ins_ge65","Northeast",684,0
"region","ins_ge65","Midwest",874,0
"region","ins_ge65","South",1458,0
"region","ins_ge65","West",811,0
"married","insurance","Married",13161,0
"married","insurance","Widowed",1726,0
"married","insurance","Divorced",2355,0
"married","insurance","Separated",492,0
"married","insurance","Never married",6218,0
"married","insurance","Inapplicable (age < 16)",8168,0
"married","insurance","Missing",2,0
"married","ins_lt65","Married",11132,0
"married","ins_lt65","Widowed",405,0
"married","ins_lt65","Divorced",2059,0
"married","ins_lt65","Separated",447,0
"married","ins_lt65","Never married",6083,0
"married","ins_lt65","Inapplicable (age < 16)",8168,0
"married","ins_lt65","Missing",1,0
"married","ins_ge65","Married",2029,0
"married","ins_ge65","Widowed",1321,0
"married","ins_ge65","Divorced",296,0
"married","ins_ge65","Separated",45,0
"married","ins_ge65","Never married",135,0
"married","ins_ge65","Missing",1,0
"race","insurance","Hispanic",7637,0
"race","insurance","Black",4699,0
"race","insurance","White and other",19786,0
"race","ins_lt65","Hispanic",7212,0
"race","ins_lt65","Black",4270,0
"race","ins_lt65","White and other",16813,0
"race","ins_ge65","Hispanic",425,0
"race","ins_ge65","Black",429,0
"race","ins_ge65","White and other",2973,0
"sex","insurance","Male",15369,0
"sex","insurance","Female",16753,0
"sex","ins_lt65","Male",13752,0
"sex","ins_lt65","Female",14543,0
"sex","ins_ge65","Male",1617,0
"sex","ins_ge65","Female",2210,0
"racesex","insurance","Female, Black",2601,0
"racesex","insurance","Female, Hispanic",3866,0
"racesex","insurance","Female, White and other",10286,0
"racesex","insurance","Male, Black",2098,0
"racesex","insurance","Male, Hispanic",3771,0
"racesex","insurance","Male, White and other",9500,0
"racesex","ins_lt65","Female, Black",2351,0
"racesex","ins_lt65","Female, Hispanic",3612,0
"racesex","ins_lt65","Female, White and other",8580,0
"racesex","ins_lt65","Male, Black",1919,0
"racesex","ins_lt65","Male, Hispanic",3600,0
"racesex","ins_lt65","Male, White and other",8233,0
"racesex","ins_ge65","Female, Black",250,0
"racesex","ins_ge65","Female, Hispanic",254,0
"racesex","ins_ge65","Female, White and other",1706,0
"racesex","ins_ge65","Male, Black",179,0
"racesex","ins_ge65","Male, Hispanic",171,0
"racesex","ins_ge65","Male, White and other",1267,0
"education","insurance","Less than high school",6053,0
"education","insurance","High school",7471,0
"education","insurance","Some college",9195,0
"education","insurance","Inapplicable (age < 18)",9230,0
"education","insurance","Missing",173,0
"education","ins_lt65","Less than high school",4603,0
"education","ins_lt65","High school",6259,0
"education","ins_lt65","Some college",8086,0
"education","ins_lt65","Inapplicable (age < 18)",9230,0
"education","ins_lt65","Missing",117,0
"education","ins_ge65","Less than high school",1450,0
"education","ins_ge65","High school",1212,0
"education","ins_ge65","Some college",1109,0
"education","ins_ge65","Missing",56,0
"employed","insurance","Employed",14606,0
"employed","insurance","Not employed",9342,0
"employed","insurance","Inapplicable (age < 16)",8168,0
"employed","insurance","Missing",6,0
"employed","ins_lt65","Employed",14079,0
"employed","ins_lt65","Not employed",6044,0
"employed","ins_lt65","Inapplicable (age < 16)",8168,0
"employed","ins_lt65","Missing",4,0
"employed","ins_ge65","Employed",527,0
"employed","ins_ge65","Not employed",3298,0
"employed","ins_ge65","Missing",2,0
"poverty","insurance","Negative or poor",4992,0
"poverty","insurance","Near-poor",1795,0
"poverty","insurance","Low income",5402,0
"poverty","insurance","Middle income",10108,0
"poverty","insurance","High income",9825,0
"poverty","ins_lt65","Negative or poor",4425,0
"poverty","ins_lt65","Near-poor",1486,0
"poverty","ins_lt65","Low income",4611,0
"poverty","ins_lt65","Middle income",9044,0
"poverty","ins_lt65","High income",8729,0
"poverty","ins_ge65","Negative or poor",567,0
"poverty","ins_ge65","Near-poor",309,0
"poverty","ins_ge65","Low income",791,0
"poverty","ins_ge65","Middle income",1064,0
"poverty","ins_ge65","High income",1096,0
"health","insurance","Excellent",9173,0
"health","insurance","Very good",10584,0
"health","insurance","Good",8635,0
"health","insurance","Fair",2713,0
"health","insurance","Poor",973,0
"health","insurance","Missing",44,0
"health","ins_lt65","Excellent",8683,0
"health","ins_lt65","Very good",9586,0
"health","ins_lt65","Good",7383,0
"health","ins_lt65","Fair",2006,0
"health","ins_lt65","Poor",618,0
"health","ins_lt65","Missing",19,0
"health","ins_ge65","Excellent",490,0
"health","ins_ge65","Very good",998,0
"health","ins_ge65","Good",1252,0
"health","ins_ge65","Fair",707,0
"health","ins_ge65","Poor",355,0
"health","ins_ge65","Missing",25,0
"mnhlth","insurance","Excellent",12328,0
"mnhlth","insurance","Very good",9883,0
"mnhlth","insurance","Good",7937,0
"mnhlth","insurance","Fair",1516,0
"mnhlth","insurance","Poor",413,0
"mnhlth","insurance","Missing",45,0
"mnhlth","ins_lt65","Excellent",11393,0
"mnhlth","ins_lt65","Very good",8762,0
"mnhlth","ins_lt65","Good",6660,0
"mnhlth","ins_lt65","Fair",1182,0
"mnhlth","ins_lt65","Poor",278,0
"mnhlth","ins_lt65","Missing",20,0
"mnhlth","ins_ge65","Excellent",935,0
"mnhlth","ins_ge65","Very good",1121,0
"mnhlth","ins_ge65","Good",1277,0
"mnhlth","ins_ge65","Fair",334,0
"mnhlth","ins_ge65","Poor",135,0
"mnhlth","ins_ge65","Missing",25,0
"agegrps_v2X","insurance","Under 18",9230,0
"agegrps_v2X","insurance","18-64",19065,0
"agegrps_v2X","insurance","65+",3827,0
"agegrps_v2X","ins_lt65","Under 18",9230,0
"agegrps_v2X","ins_lt65","18-64",19065,0
"agegrps_v2X","ins_ge65","65+",3827,0
"agegrps_v3X","insurance","Under 5",2418,0
"agegrps_v3X","insurance","5-6",1030,0
"agegrps_v3X","insurance","7-12",3207,0
"agegrps_v3X","insurance","13-17",2575,0
"agegrps_v3X","insurance","18",476,0
"agegrps_v3X","insurance","19-24",2509,0
"agegrps_v3X","insurance","25-29",1934,0
"agegrps_v3X","insurance","30-34",2173,0
"agegrps_v3X","insurance","35-44",4768,0
"agegrps_v3X","insurance","45-54",4345,0
"agegrps_v3X","insurance","55-64",2860,0
"agegrps_v3X","insurance","65+",3827,0
"agegrps_v3X","ins_lt65","Under 5",2418,0
"agegrps_v3X","ins_lt65","5-6",1030,0
"agegrps_v3X","ins_lt65","7-12",3207,0
"agegrps_v3X","ins_lt65","13-17",2575,0
"agegrps_v3X","ins_lt65","18",476,0
"agegrps_v3X","ins_lt65","19-24",2509,0
"agegrps_v3X","ins_lt65","25-29",1934,0
"agegrps_v3X","ins_lt65","30-34",2173,0
"agegrps_v3X","ins_lt65","35-44",4768,0
"agegrps_v3X","ins_lt65","45-54",4345,0
"agegrps_v3X","ins_lt65","55-64",2860,0
"agegrps_v3X","ins_ge65","65+",3827,0
