"rowGrp","colGrp","rowLevels","colLevels","medEXP","medEXP_se"
"ind","ind","Total","Total",567,12.500229694654
"ind","event","Total","TOT",567,12.500229694654
"ind","event","Total","DVT",137,3.06128074154792
"ind","event","Total","RX",114,3.31638747001025
"ind","event","Total","OBV",209,4.33681438385956
"ind","event","Total","OBD",182,3.82660092693491
"ind","event","Total","OBO",105,3.31638747001025
"ind","event","Total","OPT",507,31.1230208724039
"ind","event","Total","OPY",726,44.3885707524449
"ind","event","Total","OPZ",275,17.6023642639006
"ind","event","Total","ERT",280,5.86745475463352
"ind","event","Total","IPT",5184,212.503904809118
"ind","event","Total","HHT",1545,223.473494132998
"ind","event","Total","OMA",158,3.82660092693491
"ind","sop","Total","EXP",567,12.500229694654
"ind","sop","Total","SLF",186,4.08170765539723
"ind","sop","Total","PTR",340,8.92873549618145
"ind","sop","Total","MCR",544,33.4189814285648
"ind","sop","Total","MCD",216,11.2246960523424
"ind","sop","Total","OTZ",138,6.88788166848283
"ind","agegrps","Total","Under 5",233,11.9900162377294
"ind","agegrps","Total","5-17",273,8.41852203925679
"ind","agegrps","Total","18-44",476,14.5410835223526
"ind","agegrps","Total","45-64",1018,37.7557958124244
"ind","agegrps","Total","65+",1965,96.4303433587596
"event","sop","TOT","EXP",567,12.500229694654
"event","sop","TOT","SLF",186,4.08170765539723
"event","sop","TOT","PTR",340,8.92873549618145
"event","sop","TOT","MCR",544,33.4189814285648
"event","sop","TOT","MCD",216,11.2246960523424
"event","sop","TOT","OTZ",138,6.88788166848283
"event","sop","DVT","EXP",137,3.06128074154792
"event","sop","DVT","SLF",90,2.8061740130856
"event","sop","DVT","PTR",118,2.29596055616094
"event","sop","DVT","MCR",61,11.9900162377294
"event","sop","DVT","MCD",58,4.84702784078421
"event","sop","DVT","OTZ",90,8.16341531079446
"event","sop","RX","EXP",114,3.31638747001025
"event","sop","RX","SLF",49,1.53064037077396
"event","sop","RX","PTR",67,2.55106728462327
"event","sop","RX","MCR",98,11.734909509267
"event","sop","RX","MCD",56,3.31638747001025
"event","sop","RX","OTZ",64,7.39809512540748
"event","sop","OBV","EXP",209,4.33681438385956
"event","sop","OBV","SLF",60,0.510213456924654
"event","sop","OBV","PTR",151,3.57149419847258
"event","sop","OBV","MCR",227,9.18384222464377
"event","sop","OBV","MCD",108,4.33681438385956
"event","sop","OBV","OTZ",91,4.08170765539723
"event","sop","OBD","EXP",182,3.82660092693491
"event","sop","OBD","SLF",50,0.765320185386981
"event","sop","OBD","PTR",133,3.31638747001025
"event","sop","OBD","MCR",205,7.65320185386981
"event","sop","OBD","MCD",104,3.31638747001025
"event","sop","OBD","OTZ",87,4.59192111232189
"event","sop","OBO","EXP",105,3.31638747001025
"event","sop","OBO","SLF",48,1.53064037077396
"event","sop","OBO","PTR",89,3.31638747001025
"event","sop","OBO","MCR",60,5.61234802617119
"event","sop","OBO","MCD",67,7.39809512540748
"event","sop","OBO","OTZ",65,6.37766821155818
"event","sop","OPT","EXP",507,31.1230208724039
"event","sop","OPT","SLF",59,3.82660092693491
"event","sop","OPT","PTR",429,21.4289651908355
"event","sop","OPT","MCR",383,28.3168468593183
"event","sop","OPT","MCD",154,14.796190250815
"event","sop","OPT","OTZ",252,32.6536612431779
"event","sop","OPY","EXP",726,44.3885707524449
"event","sop","OPY","SLF",54,5.61234802617119
"event","sop","OPY","PTR",576,62.5011484732701
"event","sop","OPY","MCR",522,47.4498514939928
"event","sop","OPY","MCD",154,28.3168468593183
"event","sop","OPY","OTZ",334,43.3681438385956
"event","sop","OPZ","EXP",275,17.6023642639006
"event","sop","OPZ","SLF",50,4.08170765539723
"event","sop","OPZ","PTR",233,19.1330046346745
"event","sop","OPZ","MCR",167,22.4493921046848
"event","sop","OPZ","MCD",93,14.5410835223526
"event","sop","OPZ","OTZ",159,26.0208863031574
"event","sop","ERT","EXP",280,5.86745475463352
"event","sop","ERT","SLF",53,3.31638747001025
"event","sop","ERT","PTR",253,8.16341531079446
"event","sop","ERT","MCR",194,19.8983248200615
"event","sop","ERT","MCD",138,10.2042691384931
"event","sop","ERT","OTZ",189,12.7553364231164
"event","sop","IPT","EXP",5184,212.503904809118
"event","sop","IPT","SLF",140,19.8983248200615
"event","sop","IPT","PTR",2590,164.798946586663
"event","sop","IPT","MCR",5276,281.892934950871
"event","sop","IPT","MCD",2176,166.074480228975
"event","sop","IPT","OTZ",1408,309.18935489634
"event","sop","HHT","EXP",1545,223.473494132998
"event","sop","HHT","SLF",400,96.4303433587596
"event","sop","HHT","PTR",525,115.563347993434
"event","sop","HHT","MCR",1823,286.484856063193
"event","sop","HHT","MCD",1740,466.590206357596
"event","sop","HHT","OTZ",1198,316.84255675021
"event","sop","OMA","EXP",158,3.82660092693491
"event","sop","OMA","SLF",124,2.8061740130856
"event","sop","OMA","PTR",125,5.86745475463352
"event","sop","OMA","MCR",125,21.1738584623731
"event","sop","OMA","MCD",123,10.4593758669554
"event","sop","OMA","OTZ",125,14.5410835223526
"event","agegrps","TOT","Under 5",233,11.9900162377294
"event","agegrps","TOT","5-17",273,8.41852203925679
"event","agegrps","TOT","18-44",476,14.5410835223526
"event","agegrps","TOT","45-64",1018,37.7557958124244
"event","agegrps","TOT","65+",1965,96.4303433587596
"event","agegrps","DVT","Under 5",78,5.35724129770887
"event","agegrps","DVT","5-17",121,3.06128074154792
"event","agegrps","DVT","18-44",125,2.8061740130856
"event","agegrps","DVT","45-64",177,6.88788166848283
"event","agegrps","DVT","65+",181,10.4593758669554
"event","agegrps","RX","Under 5",35,2.04085382769862
"event","agegrps","RX","5-17",38,1.78574709923629
"event","agegrps","RX","18-44",87,3.82660092693491
"event","agegrps","RX","45-64",242,9.18384222464377
"event","agegrps","RX","65+",467,18.6227911777499
"event","agegrps","OBV","Under 5",146,7.14298839694516
"event","agegrps","OBV","5-17",113,4.08170765539723
"event","agegrps","OBV","18-44",194,5.10213456924654
"event","agegrps","OBV","45-64",315,8.67362876771912
"event","agegrps","OBV","65+",410,16.0717238931266
"event","agegrps","OBD","Under 5",140,6.37766821155818
"event","agegrps","OBD","5-17",103,3.06128074154792
"event","agegrps","OBD","18-44",163,4.33681438385956
"event","agegrps","OBD","45-64",257,8.41852203925679
"event","agegrps","OBD","65+",364,17.3472575354382
"event","agegrps","OBO","Under 5",41,4.33681438385956
