"rowGrp","colGrp","rowLevels","colLevels","meanEXP0","meanEXP0_se"
"ind","ind","Total","Total",2156.46844675781,62.7234617460303
"ind","event","Total","TOT",2156.46844675781,62.7234617460303
"ind","event","Total","DVT",188.864047758515,6.66536776050403
"ind","event","Total","RX",340.948375817075,9.31599161711546
"ind","event","Total","OBV",417.249963680524,9.62178579605039
"ind","event","Total","OBD",323.444213076238,7.84926022721082
"ind","event","Total","OBO",91.4266781988744,3.92210089665047
"ind","event","Total","OPT",193.19544174896,8.88297805911257
"ind","event","Total","OPY",127.629787297087,5.77953890867276
"ind","event","Total","OPZ",61.5595370396339,4.79374664816042
"ind","event","Total","ERT",62.6346505811925,2.93304403301147
"ind","event","Total","IPT",778.816497365162,44.3439549513571
"ind","event","Total","HHT",113.537288843807,17.9429516101123
"ind","event","Total","OMA",60.2780434161227,6.47750733411018
"ind","sop","Total","EXP",2156.46844675781,62.7234617460303
"ind","sop","Total","SLF",414.684512569812,9.04486831601629
"ind","sop","Total","PTR",865.853855432776,35.8529428046077
"ind","sop","Total","MCR",487.124858140464,32.4108048232311
"ind","sop","Total","MCD",189.883837794837,18.6378454436733
"ind","sop","Total","OTZ",198.93755881273,17.3597141747795
"ind","agegrps","Total","Under 5",915.349835730031,130.459639790183
"ind","agegrps","Total","5-17",820.769484271948,48.8090424204189
"ind","agegrps","Total","18-44",1462.58949537644,74.1741924960734
"ind","agegrps","Total","45-64",2778.21144109807,121.361985577008
"ind","agegrps","Total","65+",6002.6364680367,293.186894527203
"event","sop","TOT","EXP",2156.46844675781,62.7234617460303
"event","sop","TOT","SLF",414.684512569812,9.04486831601629
"event","sop","TOT","PTR",865.853855432776,35.8529428046077
"event","sop","TOT","MCR",487.124858140464,32.4108048232311
"event","sop","TOT","MCD",189.883837794837,18.6378454436733
"event","sop","TOT","OTZ",198.93755881273,17.3597141747795
"event","sop","DVT","EXP",188.864047758515,6.66536776050403
"event","sop","DVT","SLF",94.765818233718,3.9992725851337
"event","sop","DVT","PTR",81.2075855811829,3.89088890547962
"event","sop","DVT","MCR",0.765862063446728,0.146800780062344
"event","sop","DVT","MCD",5.80822332626141,0.748033796059354
"event","sop","DVT","OTZ",6.32017914542895,0.577061325486105
"event","sop","RX","EXP",340.948375817075,9.31599161711546
"event","sop","RX","SLF",157.475217526552,5.35915691642672
