"rowGrp","colGrp","rowLevels","colLevels","n_exp","n_exp_se"
"Condition","ind","Acute Bronchitis and URI","Total",3168,0
"Condition","ind","Allergic reactions","Total",623,0
"Condition","ind","Anemia and other deficiencies","Total",363,0
"Condition","ind","Appendicitis","Total",42,0
"Condition","ind","Back problems","Total",1751,0
"Condition","ind","Cancer","Total",1245,0
"Condition","ind","Cataract","Total",399,0
"Condition","ind","Cerebrovascular disease","Total",374,0
"Condition","ind","CNS infection","Total",17,0
"Condition","ind","Coma, brain damage","Total",5,0
"Condition","ind","Complications of pregnancy and birth","Total",158,0
"Condition","ind","Complications of surgery or device","Total",85,0
"Condition","ind","Congenital anomalies","Total",161,0
"Condition","ind","COPD, asthma","Total",5083,0
"Condition","ind","Diabetes mellitus","Total",2405,0
"Condition","ind","Disorders of mouth and esophagus","Total",120,0
"Condition","ind","Disorders of teeth and jaws","Total",767,0
"Condition","ind","Disorders of the upper GI","Total",2295,0
"Condition","ind","Epilepsy and convulsions","Total",257,0
"Condition","ind","Female genital disorders, and contraception","Total",1248,0
"Condition","ind","Gallbladder, pancreatic, and liver disease","Total",347,0
"Condition","ind","Glaucoma","Total",377,0
"Condition","ind","Headache","Total",805,0
"Condition","ind","Heart disease","Total",2248,0
"Condition","ind","Hemorrhagic, coagulation, and disorders of White Blood cells","Total",105,0
"Condition","ind","Hereditary, degenerative and other nervous system disorders","Total",278,0
"Condition","ind","Hernias","Total",195,0
"Condition","ind","Hyperlipidemia","Total",4466,0
"Condition","ind","Hypertension","Total",5983,0
"Condition","ind","Infectious diseases","Total",1694,0
"Condition","ind","Influenza","Total",556,0
"Condition","ind","Intestinal infection","Total",1180,0
"Condition","ind","Kidney Disease","Total",452,0
"Condition","ind","Male genital disorders","Total",407,0
"Condition","ind","Mental disorders","Total",3743,0
"Condition","ind","Non-malignant breast disease","Total",180,0
"Condition","ind","Non-malignant neoplasm","Total",344,0
"Condition","ind","Normal birth/live born","Total",722,0
"Condition","ind","Osteoarthritis and other non-traumatic joint disorders","Total",3649,0
"Condition","ind","Other bone and musculoskeletal disease","Total",777,0
"Condition","ind","Other care and screening","Total",1853,0
"Condition","ind","Other circulatory conditions arteries, veins, and lymphatics","Total",584,0
"Condition","ind","Other CNS disorders","Total",1408,0
"Condition","ind","Other endocrine, nutritional & immune disorder","Total",1309,0
"Condition","ind","Other eye disorders","Total",1465,0
"Condition","ind","Other GI","Total",848,0
"Condition","ind","Other stomach and intestinal disorders","Total",175,0
"Condition","ind","Other urinary","Total",478,0
"Condition","ind","Otitis media","Total",1112,0
"Condition","ind","Paralysis","Total",41,0
"Condition","ind","Perinatal Conditions","Total",25,0
"Condition","ind","Pneumonia","Total",401,0
"Condition","ind","Poisoning by medical and non-medical substances","Total",199,0
"Condition","ind","Residual Codes","Total",2067,0
"Condition","ind","Skin disorders","Total",2178,0
"Condition","ind","Symptoms","Total",944,0
"Condition","ind","Systemic lupus and connective tissues disorders","Total",1458,0
"Condition","ind","Thyroid disease","Total",1497,0
"Condition","ind","Tonsillitis","Total",110,0
"Condition","ind","Trauma-related disorders","Total",3208,0
"Condition","ind","Urinary tract infections","Total",813,0
"Condition","event","Acute Bronchitis and URI","ERT",206,0
"Condition","event","Allergic reactions","ERT",52,0
"Condition","event","Anemia and other deficiencies","ERT",6,0
"Condition","event","Appendicitis","ERT",18,0
"Condition","event","Back problems","ERT",104,0
"Condition","event","Cancer","ERT",36,0
"Condition","event","Cerebrovascular disease","ERT",53,0
"Condition","event","CNS infection","ERT",4,0
"Condition","event","Coma, brain damage","ERT",2,0
"Condition","event","Complications of pregnancy and birth","ERT",33,0
"Condition","event","Complications of surgery or device","ERT",18,0
"Condition","event","Congenital anomalies","ERT",12,0
"Condition","event","COPD, asthma","ERT",396,0
"Condition","event","Diabetes mellitus","ERT",63,0
"Condition","event","Disorders of mouth and esophagus","ERT",5,0
"Condition","event","Disorders of teeth and jaws","ERT",42,0
"Condition","event","Disorders of the upper GI","ERT",123,0
"Condition","event","Epilepsy and convulsions","ERT",34,0
"Condition","event","Female genital disorders, and contraception","ERT",54,0
