"rowGrp","colGrp","rowLevels","colLevels","pctEXP","pctEXP_se"
"ind","ind","Total","Total",0.841338251221232,0.0031691228167924
"ind","event","Total","TOT",0.841338251221232,0.0031691228167924
"ind","event","Total","DVT",0.404621802447278,0.00611608716730724
"ind","event","Total","RX",0.621049544101879,0.0042367689106951
"ind","event","Total","OBV",0.696107422529852,0.00425849885369949
"ind","event","Total","OBD",0.657100527265092,0.00446301676939406
"ind","event","Total","OBO",0.231377972311627,0.00508516045843491
"ind","event","Total","OPT",0.138287874878289,0.00319546607981054
"ind","event","Total","OPY",0.0784465541412889,0.00220395957837714
"ind","event","Total","OPZ",0.0810653642537061,0.00263478695093076
"ind","event","Total","ERT",0.115613190904039,0.0026657448168056
"ind","event","Total","IPT",0.074936128099501,0.0019024319895261
"ind","event","Total","HHT",0.0236557739451073,0.00109481473802572
"ind","event","Total","OMA",0.175988223637203,0.00321829495687391
"ind","sop","Total","EXP",0.841338251221232,0.0031691228167924
"ind","sop","Total","SLF",0.769441118568977,0.00412555272912815
"ind","sop","Total","PTR",0.576790851106523,0.00648566625112177
"ind","sop","Total","MCR",0.131403252921826,0.00322963341862856
"ind","sop","Total","MCD",0.125429617996277,0.00366381711624993
"ind","sop","Total","OTZ",0.153813356983632,0.00317237561269606
"ind","agegrps","Total","Under 5",0.884129382572506,0.008222282656623
"ind","agegrps","Total","5-17",0.820328224253727,0.00649649681317293
"ind","agegrps","Total","18-44",0.783040102207495,0.00528443483785308
"ind","agegrps","Total","45-64",0.891777842638684,0.00465665268742884
"ind","agegrps","Total","65+",0.951698073954038,0.004306471928931
"event","sop","TOT","EXP",0.841338251221232,0.0031691228167924
"event","sop","TOT","SLF",0.769441118568977,0.00412555272912815
"event","sop","TOT","PTR",0.576790851106523,0.00648566625112177
"event","sop","TOT","MCR",0.131403252921826,0.00322963341862856
"event","sop","TOT","MCD",0.125429617996277,0.00366381711624993
"event","sop","TOT","OTZ",0.153813356983632,0.00317237561269606
"event","sop","DVT","EXP",0.404621802447278,0.00611608716730724
"event","sop","DVT","SLF",0.287364115597634,0.00495951161079791
"event","sop","DVT","PTR",0.244330127684338,0.00591718403751448
"event","sop","DVT","MCR",0.00370806982489194,0.000501249055517022
"event","sop","DVT","MCD",0.0259356275199318,0.00134111591354616
"event","sop","DVT","OTZ",0.0219458204426563,0.00115350635569517
"event","sop","RX","EXP",0.621049544101879,0.0042367689106951
"event","sop","RX","SLF",0.589695088048125,0.00447909185135668
"event","sop","RX","PTR",0.331458751086284,0.0053287649754939
"event","sop","RX","MCR",0.0276022898463306,0.00147348655775068
"event","sop","RX","MCD",0.0738625537297884,0.00263281820126405
"event","sop","RX","OTZ",0.0248228515410774,0.00145115446015263
"event","sop","OBV","EXP",0.696107422529852,0.00425849885369949
"event","sop","OBV","SLF",0.540933300807184,0.00501321020918539
"event","sop","OBV","PTR",0.451666560673641,0.00600173103305176
"event","sop","OBV","MCR",0.114728555537305,0.00303988108664111
"event","sop","OBV","MCD",0.0801698544360823,0.00278459694260455
"event","sop","OBV","OTZ",0.0919098451423108,0.00243686979886725
"event","sop","OBD","EXP",0.657100527265092,0.00446301676939406
"event","sop","OBD","SLF",0.499592354877456,0.00518587240998172
"event","sop","OBD","PTR",0.428426939043514,0.0057850906669902
"event","sop","OBD","MCR",0.111815882995785,0.00302693173172394
"event","sop","OBD","MCD",0.075468335890031,0.00274606574026304
"event","sop","OBD","OTZ",0.0781535864780157,0.00226520181025968
"event","sop","OBO","EXP",0.231377972311627,0.00508516045843491
"event","sop","OBO","SLF",0.148405940715262,0.00388845348655012
"event","sop","OBO","PTR",0.131676185739377,0.00384694207219647
"event","sop","OBO","MCR",0.035055245468494,0.00145135195799596
