"rowGrp","colGrp","rowLevels","colLevels","meanEXP0","meanEXP0_se"
"ind","ind","Total","Total",2039.3830440553,58.7158675559863
"ind","event","Total","TOT",2039.3830440553,58.7158675559863
"ind","event","Total","DVT",164.039111415297,4.51727125504703
"ind","event","Total","RX",266.347628917901,5.98747799369966
"ind","event","Total","OBV",380.596626271713,10.3869887976952
"ind","event","Total","OBD",292.012622521305,8.74627352855486
"ind","event","Total","OBO",84.4196966169773,3.57318230113276
"ind","event","Total","OPT",206.767598914101,8.91837026921197
"ind","event","Total","OPY",125.004841949523,6.19518588519002
"ind","event","Total","OPZ",79.115523861756,5.66457876874953
"ind","event","Total","ERT",65.7937071469493,2.94524785728033
"ind","event","Total","IPT",787.125777559776,44.5792454315026
"ind","event","Total","HHT",107.673473237082,8.2249076026207
"ind","event","Total","OMA",61.0437689589747,7.20088963754482
"ind","sop","Total","EXP",2039.3830440553,58.7158675559863
"ind","sop","Total","SLF",396.119194915529,10.0021304363908
"ind","sop","Total","PTR",836.25329683655,35.8594491190163
"ind","sop","Total","MCR",470.55702354859,24.5696575172478
"ind","sop","Total","MCD",154.372150160337,8.10287644415695
"ind","sop","Total","OTZ",182.099363819388,15.5711834857481
"ind","agegrps","Total","Under 5",822.528424916188,106.039084135181
"ind","agegrps","Total","5-17",759.121617179075,58.9573814547128
"ind","agegrps","Total","18-44",1304.16999898352,46.9642181509955
"ind","agegrps","Total","45-64",2876.49078389514,157.800833069787
"ind","agegrps","Total","65+",5659.65550511374,273.681898760521
"event","sop","TOT","EXP",2039.3830440553,58.7158675559863
"event","sop","TOT","SLF",396.119194915529,10.0021304363908
"event","sop","TOT","PTR",836.25329683655,35.8594491190163
"event","sop","TOT","MCR",470.55702354859,24.5696575172478
"event","sop","TOT","MCD",154.372150160337,8.10287644415695
"event","sop","TOT","OTZ",182.099363819388,15.5711834857481
"event","sop","DVT","EXP",164.039111415297,4.51727125504703
"event","sop","DVT","SLF",83.8485328483734,3.23534786895343
"event","sop","DVT","PTR",68.3398353238806,2.27122262209156
"event","sop","DVT","MCR",0.664278967021819,0.115859219171016
"event","sop","DVT","MCD",4.9784702725,0.480112290592019
"event","sop","DVT","OTZ",6.2108557849284,0.640450470729221
"event","sop","RX","EXP",266.347628917901,5.98747799369966
"event","sop","RX","SLF",125.672942847207,3.21924803777208
"event","sop","RX","PTR",96.7272451947934,3.18407674596324
"event","sop","RX","MCR",9.66161134175972,0.756080231999435
"event","sop","RX","MCD",27.7724218609395,1.6787371705824
